first_scan,second_scan,common_cell_count,rms_mm
scan-20260719-081735,scan-20260719-081807,1326,14.629353577598385
scan-20260719-081735,scan-20260719-081846,1341,23.58304844103323
scan-20260719-081807,scan-20260719-081846,1348,20.32442792141641
