grid_x,grid_y,local_x_m,local_y_m,dh_dx,dh_dy
0,0,-0.7000000000000001,-0.7000000000000001,0.009401958427101165,-0.004243508805075284
1,0,-0.65,-0.7000000000000001,0.010353313766306915,-0.005994455860175718
2,0,-0.6000000000000001,-0.7000000000000001,0.010288591236469156,-0.007024869197486457
3,0,-0.55,-0.7000000000000001,0.00590542726195329,-0.006141891908654912
4,0,-0.5,-0.7000000000000001,-0.0014645732678318212,-0.002941062575998604
5,0,-0.45000000000000007,-0.7000000000000001,-0.007553787764134987,0.0015923986908078329
6,0,-0.4,-0.7000000000000001,-0.008404486576171271,0.00589741745297391
7,0,-0.35000000000000003,-0.7000000000000001,-0.0034109882943098024,0.009128452119572406
8,0,-0.30000000000000004,-0.7000000000000001,0.0040439097435177734,0.011547500529597281
9,0,-0.25000000000000006,-0.7000000000000001,0.009273418908542332,0.013642785829097257
10,0,-0.20000000000000007,-0.7000000000000001,0.01112465692048095,0.015328429224668542
11,0,-0.15000000000000002,-0.7000000000000001,0.015070980648216126,0.016307866857640102
12,0,-0.09999999999999998,-0.7000000000000001,0.03300965364803541,0.01714662898097215
13,0,-0.050000000000000044,-0.7000000000000001,0.07793586619343419,0.01987111587103786
14,0,0.0,-0.7000000000000001,0.14566612211177493,0.025714464122181414
15,0,0.04999999999999993,-0.7000000000000001,0.19503800850570505,0.029408528304989932
16,0,0.09999999999999998,-0.7000000000000001,0.17134154974354776,0.019633875600197567
17,0,0.15000000000000002,-0.7000000000000001,0.0724553702049745,-0.005875689325425121
18,0,0.19999999999999996,-0.7000000000000001,-0.03281446974912838,-0.029894004409137392
19,0,0.25,-0.7000000000000001,-0.07568443570837631,-0.03351432147918887
20,0,0.29999999999999993,-0.7000000000000001,-0.053157864300164524,-0.01860114627711358
21,0,0.35,-0.7000000000000001,-0.009185784624288276,-0.0011772891269654778
22,0,0.4,-0.7000000000000001,0.021140789848332515,0.008648288698932527
23,0,0.45000000000000007,-0.7000000000000001,0.03184310426912116,0.011954654253758454
24,0,0.5000000000000001,-0.7000000000000001,0.03138395455175757,0.014144832102371621
25,0,0.5499999999999999,-0.7000000000000001,0.027192030639349093,0.018698937807742344
26,0,0.6,-0.7000000000000001,0.022041477379654666,0.025197033513175496
27,0,0.65,-0.7000000000000001,0.019335532994664006,0.03137085495011571
0,1,-0.7000000000000001,-0.65,0.0076510113720007315,-0.00392363907083762
