grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-0.9500000000000001,-0.7000000000000001,0.07463432791542976,false,true
1,0,-0.9,-0.7000000000000001,0.0746377307242854,false,true
2,0,-0.8500000000000001,-0.7000000000000001,0.07464128732681274,false,true
3,0,-0.8,-0.7000000000000001,0.07848810765752999,false,true
4,0,-0.75,-0.7000000000000001,0.08222225807286056,false,true
5,0,-0.7000000000000001,-0.7000000000000001,0.08306833561184815,false,true
6,0,-0.65,-0.7000000000000001,0.08403305141606902,false,true
7,0,-0.6000000000000001,-0.7000000000000001,0.08515666504289358,false,true
8,0,-0.55,-0.7000000000000001,0.08646013102574635,false,true
9,0,-0.5,-0.7000000000000001,0.08858561515808105,false,true
10,0,-0.45000000000000007,-0.7000000000000001,0.08650580939684453,false,true
11,0,-0.4,-0.7000000000000001,0.07771902121218317,false,true
12,0,-0.35,-0.7000000000000001,0.057114999010989355,false,true
13,0,-0.30000000000000004,-0.7000000000000001,0.03674565584612092,false,true
14,0,-0.25,-0.7000000000000001,0.02288823460991168,false,true
15,0,-0.20000000000000007,-0.7000000000000001,0.014115733264883013,false,true
16,0,-0.15000000000000002,-0.7000000000000001,0.006095044723954961,false,true
17,0,-0.09999999999999998,-0.7000000000000001,0.0018354679350576022,false,true
18,0,-0.050000000000000044,-0.7000000000000001,0.003120852386767927,false,true
19,0,0.0,-0.7000000000000001,0.00835010264201576,false,true
20,0,0.04999999999999993,-0.7000000000000001,0.011271782237312462,false,true
21,0,0.09999999999999998,-0.7000000000000001,0.008181009881976684,false,true
22,0,0.15000000000000002,-0.7000000000000001,0.003447194591024875,false,true
23,0,0.20000000000000007,-0.7000000000000001,0.0007186401492367986,false,true
24,0,0.2500000000000001,-0.7000000000000001,-0.0009093846276686984,false,true
25,0,0.29999999999999993,-0.7000000000000001,0.0011245708417190062,false,true
26,0,0.35,-0.7000000000000001,0.0036634406946684816,false,true
27,0,0.4,-0.7000000000000001,0.0072539448738098145,false,true
28,0,0.45000000000000007,-0.7000000000000001,0.030081964891908185,false,true
29,0,0.5000000000000001,-0.7000000000000001,0.031114241826499123,false,true
30,0,0.5499999999999999,-0.7000000000000001,0.019211530685424805,false,true
31,0,0.6,-0.7000000000000001,0.01907252727470603,false,true
32,0,0.65,-0.7000000000000001,0.01897963240878711,false,true
33,0,0.7000000000000001,-0.7000000000000001,0.02251909235307674,false,true
34,0,0.7500000000000001,-0.7000000000000001,0.02663016319274902,false,true
0,1,-0.9500000000000001,-0.65,0.07462275693192093,false,true
1,1,-0.9,-0.65,0.07462951561699595,false,true
2,1,-0.8500000000000001,-0.65,0.07463270092875524,false,true
3,1,-0.8,-0.65,0.07464128732681274,false,true
4,1,-0.75,-0.65,0.07864744697994128,false,true
5,1,-0.7000000000000001,-0.65,0.08102572374240503,false,true
6,1,-0.65,-0.65,0.08170402143768331,false,true
7,1,-0.6000000000000001,-0.65,0.0824440217861465,false,true
8,1,-0.55,-0.65,0.08331328577185124,false,true
9,1,-0.5,-0.65,0.08345424253918982,false,true
10,1,-0.45000000000000007,-0.65,0.08858561515808105,true,false
11,1,-0.4,-0.65,0.08356451988220215,true,false
12,1,-0.35,-0.65,0.05858564376831055,true,false
13,1,-0.30000000000000004,-0.65,0.02858567237854004,true,false
14,1,-0.25,-0.65,0.026445627212524414,true,false
15,1,-0.20000000000000007,-0.65,0.012159883975982666,true,false
16,1,-0.15000000000000002,-0.65,0.004551827907562256,true,false
17,1,-0.09999999999999998,-0.65,0.0022126436233520508,true,false
18,1,-0.050000000000000044,-0.65,-0.0014142990112304688,true,false
19,1,0.0,-0.65,0.010442733764648438,true,false
20,1,0.04999999999999993,-0.65,0.01515507698059082,true,false
21,1,0.09999999999999998,-0.65,0.006609022617340088,true,false
22,1,0.15000000000000002,-0.65,0.0034300684928894043,true,false
23,1,0.20000000000000007,-0.65,0.0003095865249633789,true,false
24,1,0.2500000000000001,-0.65,-0.0014142990112304688,true,false
25,1,0.29999999999999993,-0.65,-0.0014142990112304688,true,false
26,1,0.35,-0.65,0.0072539448738098145,true,false
27,1,0.4,-0.65,0.04797081228693874,false,true
28,1,0.45000000000000007,-0.65,0.047947217351215765,false,true
29,1,0.5000000000000001,-0.65,0.019211530685424805,false,true
30,1,0.5499999999999999,-0.65,0.018875946766051425,false,true
31,1,0.6,-0.65,0.018848259229529738,false,true
32,1,0.65,-0.65,0.021710712472426365,false,true
33,1,0.7000000000000001,-0.65,0.02663016319274902,false,true
34,1,0.7500000000000001,-0.65,0.02662532139877335,false,true
0,2,-0.9500000000000001,-0.6000000000000001,0.07441360074743907,false,true
1,2,-0.9,-0.6000000000000001,0.07459822491545957,false,true
2,2,-0.8500000000000001,-0.6000000000000001,0.0746132391960888,false,true
3,2,-0.8,-0.6000000000000001,0.07462055792817036,false,true
4,2,-0.75,-0.6000000000000001,0.07464128732681274,false,true
5,2,-0.7000000000000001,-0.6000000000000001,0.07652873240996765,false,true
6,2,-0.65,-0.6000000000000001,0.07705913826875212,false,true
7,2,-0.6000000000000001,-0.6000000000000001,0.07720485930351559,false,true
8,2,-0.55,-0.6000000000000001,0.0771985876286805,false,true
9,2,-0.5,-0.6000000000000001,0.07784161341354295,false,true
10,2,-0.45000000000000007,-0.6000000000000001,0.07619738578796387,true,false
11,2,-0.4,-0.6000000000000001,0.06504940986633301,true,false
12,2,-0.35,-0.6000000000000001,0.05714625120162964,true,false
13,2,-0.30000000000000004,-0.6000000000000001,0.03577113151550293,true,false
14,2,-0.25,-0.6000000000000001,0.02765834331512451,true,false
15,2,-0.20000000000000007,-0.6000000000000001,0.02035313844680786,true,false
16,2,-0.15000000000000002,-0.6000000000000001,0.01380842924118042,true,false
17,2,-0.09999999999999998,-0.6000000000000001,0.009946882724761963,true,false
18,2,-0.050000000000000044,-0.6000000000000001,0.007006406784057617,true,false
19,2,0.0,-0.6000000000000001,0.004814565181732178,true,false
20,2,0.04999999999999993,-0.6000000000000001,0.0045506954193115234,true,false
21,2,0.09999999999999998,-0.6000000000000001,0.005241751670837402,true,false
22,2,0.15000000000000002,-0.6000000000000001,0.004678070545196533,true,false
23,2,0.20000000000000007,-0.6000000000000001,0.003863394260406494,true,false
24,2,0.2500000000000001,-0.6000000000000001,0.00442814826965332,true,false
25,2,0.29999999999999993,-0.6000000000000001,0.013541162014007568,true,false
26,2,0.35,-0.6000000000000001,0.07687443494796753,true,false
27,2,0.4,-0.6000000000000001,0.08858561515808105,true,false
28,2,0.45000000000000007,-0.6000000000000001,0.019211530685424805,true,false
29,2,0.5000000000000001,-0.6000000000000001,0.01840135943595927,false,true
30,2,0.5499999999999999,-0.6000000000000001,0.018445831683977003,false,true
31,2,0.6,-0.6000000000000001,0.021439863939803558,false,true
32,2,0.65,-0.6000000000000001,0.02663016319274902,false,true
33,2,0.7000000000000001,-0.6000000000000001,0.026618474068066753,false,true
34,2,0.7500000000000001,-0.6000000000000001,0.026605432268049286,false,true
0,3,-0.9500000000000001,-0.55,0.07410168647766113,false,true
1,3,-0.9,-0.55,0.07437770126614339,false,true
2,3,-0.8500000000000001,-0.55,0.07454251550286883,false,true
3,3,-0.8,-0.55,0.0745748408151957,false,true
4,3,-0.75,-0.55,0.07459124213147046,false,true
5,3,-0.7000000000000001,-0.55,0.07464128732681274,false,true
6,3,-0.65,-0.55,0.07327258665802887,false,true
7,3,-0.6000000000000001,-0.55,0.07146817408767221,false,true
8,3,-0.55,-0.55,0.07110530232279048,false,true
9,3,-0.5,-0.55,0.07003355693226311,false,true
