grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-0.6000000000000001,2.75,-0.12535727503333421,false,true
1,0,-0.55,2.75,-0.12676142294656698,false,true
2,0,-0.5000000000000001,2.75,-0.12851074795994863,false,true
3,0,-0.45000000000000007,2.75,-0.13018602846988753,false,true
4,0,-0.4000000000000001,2.75,-0.13135004229196365,false,true
5,0,-0.3500000000000001,2.75,-0.13191322096219643,false,true
6,0,-0.30000000000000004,2.75,-0.13205514179289496,false,true
7,0,-0.25000000000000006,2.75,-0.1319551847189042,false,true
8,0,-0.20000000000000007,2.75,-0.13171444388743503,false,true
9,0,-0.15000000000000008,2.75,-0.13140808236138404,false,true
10,0,-0.10000000000000009,2.75,-0.13111540024120316,false,true
11,0,-0.050000000000000044,2.75,-0.13090743533271035,false,true
12,0,0.0,2.75,-0.13086314439438126,false,true
13,0,0.04999999999999993,2.75,-0.1310873714480731,false,true
14,0,0.09999999999999998,2.75,-0.13163151196822878,false,true
15,0,0.1499999999999999,2.75,-0.13235269146831005,true,false
16,0,0.19999999999999996,2.75,-0.13292824803384265,false,true
17,0,0.25,2.75,-0.13311292895816562,false,true
18,0,0.29999999999999993,2.75,-0.13295674970981392,false,true
19,0,0.35,2.75,-0.132712740697087,false,true
20,0,0.3999999999999999,2.75,-0.13257734916148345,false,true
21,0,0.44999999999999996,2.75,-0.13257772870289306,false,true
22,0,0.5,2.75,-0.1326780661893741,false,true
23,0,0.55,2.75,-0.13290443300568677,false,true
24,0,0.6000000000000001,2.75,-0.13330132728194577,false,true
25,0,0.6499999999999999,2.75,-0.13379194670093988,false,true
26,0,0.7,2.75,-0.13419833365321693,false,true
27,0,0.75,2.75,-0.1344223897850422,false,true
0,1,-0.6000000000000001,2.8,-0.12463581691883709,false,true
1,1,-0.55,2.8,-0.12581655950746223,false,true
2,1,-0.5000000000000001,2.8,-0.1274395254946982,false,true
3,1,-0.45000000000000007,2.8,-0.1292069178192729,false,true
4,1,-0.4000000000000001,2.8,-0.13066291570620023,false,true
5,1,-0.3500000000000001,2.8,-0.13155810298848342,false,true
6,1,-0.30000000000000004,2.8,-0.13194321004705692,false,true
7,1,-0.25000000000000006,2.8,-0.13198486736556997,false,true
8,1,-0.20000000000000007,2.8,-0.13182612039187785,false,true
9,1,-0.15000000000000008,2.8,-0.1315680778563783,false,true
10,1,-0.10000000000000009,2.8,-0.13129916716661427,false,true
11,1,-0.050000000000000044,2.8,-0.13111068879987206,false,true
12,1,0.0,2.8,-0.1311141025873665,false,true
13,1,0.04999999999999993,2.8,-0.1314315868380193,false,true
14,1,0.09999999999999998,2.8,-0.13208502756497636,true,false
15,1,0.1499999999999999,2.8,-0.13285841096115916,true,false
16,1,0.19999999999999996,2.8,-0.13338021908035327,true,false
17,1,0.25,2.8,-0.13343870727942564,true,false
18,1,0.29999999999999993,2.8,-0.13315980631540708,false,true
19,1,0.35,2.8,-0.13283892477703702,false,true
20,1,0.3999999999999999,2.8,-0.13266442468278003,false,true
21,1,0.44999999999999996,2.8,-0.13264540587929188,false,true
22,1,0.5,2.8,-0.1327495525896432,false,true
23,1,0.55,2.8,-0.13299211482801687,false,true
24,1,0.6000000000000001,2.8,-0.13333505157413475,false,true
25,1,0.6499999999999999,2.8,-0.13360498928062636,false,true
26,1,0.7,2.8,-0.13364705359184567,false,true
27,1,0.75,2.8,-0.1334875028513855,false,true
0,2,-0.6000000000000001,2.85,-0.1238662637620668,false,true
1,2,-0.55,2.85,-0.12473931713481781,false,true
2,2,-0.5000000000000001,2.85,-0.12609478623495873,false,true
3,2,-0.45000000000000007,2.85,-0.12781345388836735,false,true
4,2,-0.4000000000000001,2.85,-0.12951878306965728,false,true
5,2,-0.3500000000000001,2.85,-0.1308334016329338,false,true
6,2,-0.30000000000000004,2.85,-0.13161114185330927,false,true
7,2,-0.25000000000000006,2.85,-0.13192193491507126,false,true
8,2,-0.20000000000000007,2.85,-0.13192242991109074,false,true
9,2,-0.15000000000000008,2.85,-0.13175680020858158,false,true
10,2,-0.10000000000000009,2.85,-0.1315426857596899,false,true
11,2,-0.050000000000000044,2.85,-0.13140173861983714,false,true
12,2,0.0,2.85,-0.13148716863432686,false,true
13,2,0.04999999999999993,2.85,-0.13193893996094808,false,true
14,2,0.09999999999999998,2.85,-0.13272838730905842,true,false
15,2,0.1499999999999999,2.85,-0.1335531288408673,true,false
16,2,0.19999999999999996,2.85,-0.13401511215558054,true,false
17,2,0.25,2.85,-0.13395592087699615,true,false
18,2,0.29999999999999993,2.85,-0.1335598919847338,true,false
19,2,0.35,2.85,-0.13313780107538495,true,false
20,2,0.3999999999999999,2.85,-0.13286861438680594,true,false
21,2,0.44999999999999996,2.85,-0.13276432818301107,false,true
22,2,0.5,2.85,-0.13280698883449765,false,true
23,2,0.55,2.85,-0.13297649047812932,false,true
24,2,0.6000000000000001,2.85,-0.1331156433490189,false,true
25,2,0.6499999999999999,2.85,-0.132973855130006,false,true
26,2,0.7,2.85,-0.13249595410337747,false,true
27,2,0.75,2.85,-0.13187728804090607,false,true
0,3,-0.6000000000000001,2.9,-0.12323310663857585,false,true
1,3,-0.55,2.9,-0.12377682545957314,false,true
2,3,-0.5000000000000001,2.9,-0.1247464113026364,false,true
