grid_x,grid_y,local_x_m,local_y_m,dh_dx,dh_dy
0,0,-3.6500000000000004,-1.3,0.034247027036728994,-0.011810076715792484
1,0,-3.6000000000000005,-1.3,0.05599809613465179,-0.020070537870022775
2,0,-3.5500000000000003,-1.3,0.10760858688216524,-0.03899718803736851
3,0,-3.5000000000000004,-1.3,0.15803696317995275,-0.06845074634592274
4,0,-3.45,-1.3,0.1746096927203178,-0.09657784606839082
5,0,-3.4000000000000004,-1.3,0.14788817863099601,-0.1086070140380957
6,0,-3.3500000000000005,-1.3,0.1005839157992161,-0.10188912394501148
7,0,-3.3000000000000003,-1.3,0.05953401362547184,-0.08496587278855161
8,0,-3.2500000000000004,-1.3,0.035630578904375376,-0.06738188032114678
9,0,-3.2,-1.3,0.02983739953278608,-0.05480532595734333
10,0,-3.1500000000000004,-1.3,0.04533552309952005,-0.04852038813154991
11,0,-3.1000000000000005,-1.3,0.08589906085846644,-0.045795755525877
12,0,-3.0500000000000003,-1.3,0.13618623701030064,-0.03938351327663181
13,0,-3.0000000000000004,-1.3,0.14499112299478645,-0.017919975106202024
14,0,-2.95,-1.3,0.059386317810825595,0.022466400361107475
15,0,-2.9000000000000004,-1.3,-0.09551556187232357,0.06240061828937549
16,0,-2.8500000000000005,-1.3,-0.2100268786411974,0.07506817564455925
17,0,-2.8000000000000003,-1.3,-0.20685672297097057,0.06459816471294122
18,0,-2.7500000000000004,-1.3,-0.11893105271100213,0.06348154878915269
19,0,-2.7,-1.3,-0.024711709535921722,0.08909280619571414
20,0,-2.6500000000000004,-1.3,0.030421630018893087,0.12260860119698958
21,0,-2.6000000000000005,-1.3,0.035653773574488845,0.12973680824285072
22,0,-2.5500000000000003,-1.3,-0.0002927037413624767,0.0962641898427119
23,0,-2.5,-1.3,-0.048219422213899854,0.04303371356861874
24,0,-2.45,-1.3,-0.07375367655322762,0.002328256577490695
25,0,-2.4000000000000004,-1.3,-0.06619829198125093,-0.014171692909854539
26,0,-2.3500000000000005,-1.3,-0.04430960916701032,-0.018056186291068865
27,0,-2.3000000000000003,-1.3,-0.035738878738633684,-0.026517014012912288
28,0,-2.25,-1.3,-0.05786426572065517,-0.048914803799449125
29,0,-2.2,-1.3,-0.110117080214438,-0.08072099352234963
30,0,-2.1500000000000004,-1.3,-0.16994594724155654,-0.10352600025377301
31,0,-2.1000000000000005,-1.3,-0.19871392094908957,-0.09778636139186059
32,0,-2.0500000000000003,-1.3,-0.16890327563915064,-0.06174676619475017
33,0,-2.0,-1.3,-0.09028144628732471,-0.013107015792239718
34,0,-1.9500000000000002,-1.3,0.0002840759291200534,0.028487635188176874
35,0,-1.9000000000000004,-1.3,0.07045841700568434,0.05287074400944114
36,0,-1.8500000000000003,-1.3,0.10562906273607453,0.057947608363608794
37,0,-1.8000000000000003,-1.3,0.10579228891219095,0.04845636747021098
38,0,-1.7500000000000002,-1.3,0.0834078672464389,0.03375741954764644
39,0,-1.7000000000000002,-1.3,0.055584358971544345,0.020624724533160332
40,0,-1.6500000000000004,-1.3,0.03155433956934073,0.009986209199845941
41,0,-1.6,-1.3,0.010725016821674371,0.00020030987813557388
42,0,-1.5500000000000003,-1.3,-0.01071993453763076,-0.01028197245071416
43,0,-1.5000000000000004,-1.3,-0.03497957302095234,-0.02143872463995722
44,0,-1.4500000000000002,-1.3,-0.05887800912356522,-0.029841083440433902
45,0,-1.4000000000000004,-1.3,-0.07262508946126123,-0.030551618847391993
46,0,-1.35,-1.3,-0.06779268593104404,-0.023039417777386273
47,0,-1.3000000000000003,-1.3,-0.047796276892523304,-0.012707284550474984
48,0,-1.25,-1.3,-0.025365471899498893,-0.005055331518339923
49,0,-1.2000000000000002,-1.3,-0.009794043691018217,-0.0009419628556450732
50,0,-1.1500000000000004,-1.3,-0.0006887136491040557,0.0024935628611055805
51,0,-1.1,-1.3,0.008877995181932885,0.009862972043686025
52,0,-1.0500000000000003,-1.3,0.028732943234131003,0.02680217674823071
53,0,-1.0,-1.3,0.06878870301096018,0.05668523010793569
54,0,-0.9500000000000002,-1.3,0.13021202110539032,0.09263248585504646
55,0,-0.9000000000000004,-1.3,0.1915760727600957,0.11324292189848428
56,0,-0.8500000000000001,-1.3,0.20956626604441198,0.09524236513796858
57,0,-0.8000000000000003,-1.3,0.1509696329484611,0.03719639070254743
58,0,-0.75,-1.3,0.030160186886780682,-0.033812561007939834
59,0,-0.7000000000000002,-1.3,-0.09482129546542706,-0.08267128528048451
60,0,-0.6500000000000004,-1.3,-0.16549108981129268,-0.0911801180533911
61,0,-0.6000000000000001,-1.3,-0.16209413224198221,-0.06746316768226457
62,0,-0.5500000000000003,-1.3,-0.11044088886332792,-0.03538824771915472
63,0,-0.5,-1.3,-0.05430380733170148,-0.013382119399867332
64,0,-0.4500000000000002,-1.3,-0.020078676656022365,-0.004665767737512816
65,0,-0.40000000000000036,-1.3,-0.00875557300208607,-0.004711630875093853
66,0,-0.3500000000000001,-1.3,-0.011876892059302646,-0.009776326311550232
67,0,-0.30000000000000027,-1.3,-0.023099031772547685,-0.017212561289452477
68,0,-0.25,-1.3,-0.03675148782375848,-0.023130156671227198
69,0,-0.20000000000000018,-1.3,-0.045458350222264965,-0.024177154722229144
70,0,-0.15000000000000036,-1.3,-0.04553824708683374,-0.02218219516526787
71,0,-0.10000000000000009,-1.3,-0.04383946368998637,-0.02445060876522076
72,0,-0.050000000000000266,-1.3,-0.054049955961484875,-0.03702189330128114
73,0,0.0,-1.3,-0.08289150144276447,-0.0570214013936865
74,0,0.04999999999999982,-1.3,-0.11917711987156077,-0.07196068142814704
75,0,0.09999999999999964,-1.3,-0.1381485395205695,-0.06938423228195045
76,0,0.1499999999999999,-1.3,-0.12268646334451239,-0.049666275308912766
77,0,0.19999999999999973,-1.3,-0.08150908678467239,-0.025886782533881547
78,0,0.25,-1.3,-0.039960095154867314,-0.009882981154507586
79,0,0.2999999999999998,-1.3,-0.015140836095755006,-0.0038086742491905135
80,0,0.34999999999999964,-1.3,-0.007885350744999409,-0.004973007676394303
81,0,0.39999999999999947,-1.3,-0.013731806211505493,-0.01227892070913894
82,0,0.4500000000000002,-1.3,-0.03147636943443666,-0.025998624896157452
83,0,0.5,-1.3,-0.059850855264711456,-0.04314838943134891
84,0,0.5499999999999998,-1.3,-0.08939332089660579,-0.05518834449163901
85,0,0.5999999999999996,-1.3,-0.1025042704225465,-0.05374391646028487
86,0,0.6499999999999995,-1.3,-0.08910033850978993,-0.040030126148569156
87,0,0.7000000000000002,-1.3,-0.05942577379228542,-0.02373909814866959
88,0,0.75,-1.3,-0.04313096937427208,-0.012109877311607953
0,1,-3.6500000000000004,-1.25,0.025986565882498702,-0.013011885634207632
1,1,-3.6000000000000005,-1.25,0.04240454047386377,-0.02106124479782645
2,1,-3.5500000000000003,-1.25,0.08341848264421525,-0.04016236711936516
