first_scan,second_scan,common_cell_count,rms_mm
scan-20260719-092236,scan-20260719-092301,2576,22.736283020534064
scan-20260719-092236,scan-20260719-092328,1522,23.18139502962663
scan-20260719-092301,scan-20260719-092328,1546,15.993560371296509
