grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-0.7000000000000001,-0.55,-0.7236803698451388,false,true
1,0,-0.65,-0.55,-0.725543994223699,false,true
2,0,-0.6000000000000001,-0.55,-0.7252482768046623,false,true
3,0,-0.55,-0.55,-0.7248300692200307,false,true
4,0,-0.5,-0.55,-0.7239429169629207,false,true
5,0,-0.45000000000000007,-0.55,-0.7225173967150031,false,true
6,0,-0.4,-0.55,-0.7207745840671587,false,true
7,0,-0.35000000000000003,-0.55,-0.7199293434002514,false,true
8,0,-0.30000000000000004,-0.55,-0.7265930730721998,false,true
9,0,-0.25000000000000006,-0.55,-0.736454922473058,false,true
10,0,-0.20000000000000007,-0.55,-0.7367544220450444,false,true
11,0,-0.15000000000000002,-0.55,-0.7385367145254075,false,true
12,0,-0.09999999999999998,-0.55,-0.7409846370574087,false,true
13,0,-0.050000000000000044,-0.55,-0.7403670404154651,false,true
14,0,0.0,-0.55,-0.7418147805440873,false,true
15,0,0.04999999999999993,-0.55,-0.7597891371321022,false,true
16,0,0.09999999999999998,-0.55,-0.7765902464743704,true,false
17,0,0.15000000000000002,-0.55,-0.7965738957282156,true,false
18,0,0.19999999999999996,-0.55,-0.7940110733488305,false,true
19,0,0.25,-0.55,-0.792765496737204,false,true
20,0,0.29999999999999993,-0.55,-0.7894257883097476,false,true
21,0,0.35,-0.55,-0.787338929238064,false,true
22,0,0.4,-0.55,-0.7871079628821462,false,true
23,0,0.45000000000000007,-0.55,-0.7871079628821464,false,true
24,0,0.5000000000000001,-0.55,-0.7871383490220403,false,true
25,0,0.5499999999999999,-0.55,-0.7871981318493163,false,true
26,0,0.6,-0.55,-0.7872802935459207,false,true
0,1,-0.7000000000000001,-0.5,-0.7219929167280086,false,true
1,1,-0.65,-0.5,-0.7234312260579246,false,true
2,1,-0.6000000000000001,-0.5,-0.725543994223699,false,true
3,1,-0.55,-0.5,-0.7248300692200307,false,true
4,1,-0.5,-0.5,-0.7241161442163624,false,true
5,1,-0.45000000000000007,-0.5,-0.7228107843746208,false,true
6,1,-0.4,-0.5,-0.72050373640638,false,true
7,1,-0.35000000000000003,-0.5,-0.7191214201949068,false,true
8,1,-0.30000000000000004,-0.5,-0.7204975263484773,false,true
9,1,-0.25000000000000006,-0.5,-0.728738369623485,false,true
10,1,-0.20000000000000007,-0.5,-0.736454922473058,false,true
11,1,-0.15000000000000002,-0.5,-0.7371779784016723,false,true
12,1,-0.09999999999999998,-0.5,-0.7390781643872347,false,true
13,1,-0.050000000000000044,-0.5,-0.7409846370574087,true,false
14,1,0.0,-0.5,-0.7394936268683523,true,false
15,1,0.04999999999999993,-0.5,-0.7459275310393423,true,false
16,1,0.09999999999999998,-0.5,-0.7759275620337576,true,false
17,1,0.15000000000000002,-0.5,-0.7903866951819509,true,false
18,1,0.19999999999999996,-0.5,-0.7910039854000672,false,true
19,1,0.25,-0.5,-0.7895098844749694,false,true
20,1,0.29999999999999993,-0.5,-0.7876655649910548,false,true
21,1,0.35,-0.5,-0.7871079628821462,false,true
22,1,0.4,-0.5,-0.7871079628821464,false,true
23,1,0.45000000000000007,-0.5,-0.7871813215131862,false,true
24,1,0.5000000000000001,-0.5,-0.787282677534447,false,true
25,1,0.5499999999999999,-0.5,-0.7873964877315661,false,true
26,1,0.6,-0.5,-0.7922768563864886,false,true
0,2,-0.7000000000000001,-0.45000000000000007,-0.7217834775801747,false,true
1,2,-0.65,-0.45000000000000007,-0.7222891084113672,false,true
2,2,-0.6000000000000001,-0.45000000000000007,-0.7237062674070734,false,true
3,2,-0.55,-0.45000000000000007,-0.725543994223699,false,true
4,2,-0.5,-0.45000000000000007,-0.7238204267973257,false,true
5,2,-0.45000000000000007,-0.45000000000000007,-0.7231065017936575,false,true
6,2,-0.4,-0.45000000000000007,-0.7213829343672843,false,true
7,2,-0.35000000000000003,-0.45000000000000007,-0.7166575973387808,false,true
