grid_x,grid_y,local_x_m,local_y_m,dh_dx,dh_dy
0,0,-0.7000000000000001,-0.55,-0.007026296882406413,0.008493266560625212
1,0,-0.65,-0.55,-0.005796674077470643,0.007850735269581133
2,0,-0.6000000000000001,-0.55,-0.0008588278391086224,0.006188674873319755
3,0,-0.55,-0.55,0.007963897259415376,0.004262310982092732
4,0,-0.5,-0.55,0.01609131743561587,0.0038370064425863326
5,0,-0.45000000000000007,-0.55,0.015143142082912897,0.006254266269691833
6,0,-0.4,-0.55,-0.002691845544892102,0.011536833935490431
7,0,-0.35000000000000003,-0.55,-0.03564239073849618,0.018409152952600927
8,0,-0.30000000000000004,-0.55,-0.06749224842557133,0.024230984387150212
9,0,-0.25000000000000006,-0.55,-0.07998821101706022,0.026076269607708813
10,0,-0.20000000000000007,-0.55,-0.07129971955235126,0.023465263916087054
11,0,-0.15000000000000002,-0.55,-0.05677613486236743,0.019138945973522503
12,0,-0.09999999999999998,-0.55,-0.057146764657960425,0.01705002791605681
13,0,-0.050000000000000044,-0.55,-0.09012401510802182,0.020966649263420845
14,0,0.0,-0.55,-0.15584088191493928,0.032130051139100946
15,0,0.04999999999999993,-0.55,-0.21892662810385377,0.045056206059927995
16,0,0.09999999999999998,-0.55,-0.22760007187138553,0.05034540669761833
17,0,0.15000000000000002,-0.55,-0.16833765542509926,0.04422153956927799
18,0,0.19999999999999996,-0.55,-0.08234185421481688,0.03125937606038853
19,0,0.25,-0.55,-0.018475113066009907,0.017998221384223356
20,0,0.29999999999999993,-0.55,0.008223368588647917,0.007503249191642691
21,0,0.35,-0.55,0.00990809505967194,-0.0003939277507858385
22,0,0.4,-0.55,0.0020181520189677116,-0.007081413406249126
23,0,0.45000000000000007,-0.55,-0.007031863673427896,-0.014243121567678596
24,0,0.5000000000000001,-0.55,-0.013677255765276453,-0.022488242611160558
25,0,0.5499999999999999,-0.55,-0.016182480914640474,-0.030582085743424692
26,0,0.6,-0.55,-0.016272504800347587,-0.03695622799003928
0,1,-0.7000000000000001,-0.5,-0.007668828173450493,0.008976959463429246
1,1,-0.65,-0.5,-0.006948969921123371,0.008764780557516394
2,1,-0.6000000000000001,-0.5,-0.002653039982852823,0.007525247761860365
3,1,-0.55,-0.5,0.0067880630440486645,0.005953929993181006
4,1,-0.5,-0.5,0.01708729507941542,0.005930702037593161
5,1,-0.45000000000000007,-0.5,0.018993055829364947,0.008831756513770772
6,1,-0.4,-0.5,0.003385597796562445,0.014368593999162238
7,1,-0.35000000000000003,-0.5,-0.029295315512666287,0.02101258681544982
8,1,-0.30000000000000004,-0.5,-0.06365869009801739,0.02643816353707029
9,1,-0.25000000000000006,-0.5,-0.0803710712525918,0.028335778963622937
10,1,-0.20000000000000007,-0.5,-0.07476838136944441,0.026359506378559328
11,1,-0.15000000000000002,-0.5,-0.059983752862382556,0.022730299993102276
12,1,-0.09999999999999998,-0.5,-0.056232913013011254,0.02093824418533452
13,1,-0.050000000000000044,-0.5,-0.08258400349649975,0.025035435653509852
14,1,0.0,-0.5,-0.1437961035166857,0.03720264359410308
15,1,0.04999999999999993,-0.5,-0.20981895032459508,0.052228175367470264
16,1,0.09999999999999998,-0.5,-0.22801740511671054,0.05889506483778284
17,1,0.15000000000000002,-0.5,-0.17788067074371416,0.05127654197214726
18,1,0.19999999999999996,-0.5,-0.0954535133073442,0.03455866132765828
19,1,0.25,-0.5,-0.030353176500382828,0.017678320613869758
20,1,0.29999999999999993,-0.5,-0.0009727059788566805,0.004884968828641201
21,1,0.35,-0.5,0.002615763760726031,-0.004415861497951701
22,1,0.4,-0.5,-0.004906444889478667,-0.012335336769787597
23,1,0.45000000000000007,-0.5,-0.014735278275883612,-0.02063024596102192
24,1,0.5000000000000001,-0.5,-0.0218467378531495,-0.029328976375340154
25,1,0.5499999999999999,-0.5,-0.023416473604079835,-0.03679601562896706
