grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-1.2000000000000002,-0.65,0.07215894307480966,false,true
1,0,-1.1500000000000001,-0.65,0.07215893364900315,false,true
2,0,-1.1,-0.65,0.06720857905268596,false,true
3,0,-1.0500000000000003,-0.65,0.06288034409749306,false,true
4,0,-1.0000000000000002,-0.65,0.06286006645939188,false,true
5,0,-0.9500000000000002,-0.65,0.06284270904532932,false,true
6,0,-0.9000000000000001,-0.65,0.06282845325350614,false,true
7,0,-0.8500000000000001,-0.65,0.06281728963867361,false,true
8,0,-0.8000000000000002,-0.65,0.06280901808799658,false,true
9,0,-0.7500000000000002,-0.65,0.06280019975656236,false,true
10,0,-0.7000000000000002,-0.65,0.0716251885565221,false,true
11,0,-0.6500000000000001,-0.65,0.07957347949347576,false,true
12,0,-0.6000000000000001,-0.65,0.08008852046391872,false,true
13,0,-0.5500000000000002,-0.65,0.08054937146508352,false,true
14,0,-0.5000000000000001,-0.65,0.08087447381967271,false,true
15,0,-0.4500000000000002,-0.65,0.08087447381967271,false,true
16,0,-0.40000000000000013,-0.65,0.0684480541101727,false,true
17,0,-0.3500000000000001,-0.65,0.054372435276080204,false,true
18,0,-0.30000000000000016,-0.65,0.03058565011100039,false,true
19,0,-0.2500000000000001,-0.65,0.02087447143548692,true,false
20,0,-0.20000000000000018,-0.65,0.014720439430551473,false,true
21,0,-0.15000000000000013,-0.65,0.006423293469456567,false,true
22,0,-0.10000000000000009,-0.65,0.0029203135503790855,false,true
23,0,-0.050000000000000044,-0.65,-0.00034399961613586444,false,true
24,0,0.0,-0.65,-0.0016932406453251802,false,true
25,0,0.04999999999999982,-0.65,0.004538101811698967,false,true
26,0,0.09999999999999987,-0.65,0.014961929092347271,true,false
27,0,0.1499999999999999,-0.65,-0.0033502867127064412,true,false
28,0,0.19999999999999996,-0.65,-0.003258286943495626,true,false
29,0,0.25,-0.65,-0.0035944571400288294,true,false
30,0,0.2999999999999998,-0.65,-0.004460423221648092,true,false
31,0,0.34999999999999987,-0.65,-0.004299997320235128,true,false
32,0,0.3999999999999999,-0.65,0.001888425121247416,true,false
33,0,0.44999999999999996,-0.65,0.018047780761658794,true,false
34,0,0.5,-0.65,0.017229141167272748,false,true
35,0,0.5499999999999998,-0.65,0.017572083482214396,false,true
36,0,0.5999999999999999,-0.65,0.018118356659637576,false,true
