grid_x,grid_y,local_x_m,local_y_m,dh_dx,dh_dy
0,0,-0.65,-0.55,-0.02511135198972614,0.03815970728696216
1,0,-0.6,-0.55,-0.026367375398802517,0.02866211994108303
2,0,-0.55,-0.55,-0.02811968413696131,0.017410964490547354
3,0,-0.5,-0.55,-0.03278129498144988,0.008093300898892597
4,0,-0.45,-0.55,-0.04935199723549166,0.004455590677263643
5,0,-0.4,-0.55,-0.0800764295756562,0.006909800885213091
6,0,-0.35,-0.55,-0.11206091612254943,0.01287966562058429
7,0,-0.3,-0.55,-0.12459446800306306,0.019012100330100257
8,0,-0.25,-0.55,-0.10848380714877925,0.022380934221175597
9,0,-0.2,-0.55,-0.07635004937788348,0.02193346237825411
10,0,-0.15000000000000002,-0.55,-0.05361771890010636,0.02012144316419162
11,0,-0.09999999999999998,-0.55,-0.06353357880642285,0.022138715039483614
12,0,-0.04999999999999993,-0.55,-0.11166723736251716,0.03127775457929527
13,0,0.0,-0.55,-0.17028635233109268,0.043160002420612464
14,0,0.050000000000000044,-0.55,-0.19138920267736892,0.0476576998170275
15,0,0.09999999999999998,-0.55,-0.15493267422955426,0.03941579953237184
16,0,0.15000000000000002,-0.55,-0.09053457662500097,0.023305726765905366
17,0,0.20000000000000007,-0.55,-0.039862165739481537,0.007986970505511337
18,0,0.25,-0.55,-0.017399922392473677,-0.0025794172079196542
19,0,0.30000000000000004,-0.55,-0.014586193677612602,-0.010069541460397957
20,0,0.35,-0.55,-0.02104399069311369,-0.01762698294204279
21,0,0.4,-0.55,-0.030909861136120265,-0.026243596881883047
22,0,0.45000000000000007,-0.55,-0.038457210810000086,-0.03368755582414229
23,0,0.5000000000000001,-0.55,-0.038833113395437824,-0.03722649772632591
24,0,0.5500000000000002,-0.55,-0.03686323310670314,-0.03684371678474685
0,1,-0.65,-0.5,-0.03460893933560527,0.04409206259159748
1,1,-0.6,-0.5,-0.03674174679700992,0.03272559325142699
2,1,-0.55,-0.5,-0.038404093658056526,0.019009411292288947
3,1,-0.5,-0.5,-0.03925898188809174,0.007441647967257881
4,1,-0.45,-0.5,-0.049943747242331415,0.002804300892745859
5,1,-0.4,-0.5,-0.07586439210399587,0.005803446088190611
6,1,-0.35,-0.5,-0.10600976640010584,0.013355165103829947
7,1,-0.3,-0.5,-0.11984383370276741,0.021569227526567758
8,1,-0.25,-0.5,-0.10702312612470233,0.02714867347173855
9,1,-0.2,-0.5,-0.07747979490637547,0.028389199339389215
10,1,-0.15000000000000002,-0.5,-0.05351509256949161,0.02700376481042821
11,1,-0.09999999999999998,-0.5,-0.05795542309887103,0.02830629074179636
12,1,-0.04999999999999993,-0.5,-0.10115659367195273,0.03673497607118992
13,1,0.0,-0.5,-0.16209637971222657,0.0487340992481633
14,1,0.050000000000000044,-0.5,-0.19326130412148923,0.05335026553790034
15,1,0.09999999999999998,-0.5,-0.16710866075511532,0.04386300855380498
16,1,0.15000000000000002,-0.5,-0.10624899113843123,0.025201069366849183
17,1,0.20000000000000007,-0.5,-0.052804737726394047,0.007085563201614242
18,1,0.25,-0.5,-0.026428178375428324,-0.005882020424273771
19,1,0.30000000000000004,-0.5,-0.02210997654467417,-0.015373704017229706
20,1,0.35,-0.5,-0.029131018403856235,-0.024450668777631357
21,1,0.4,-0.5,-0.038940147577170015,-0.03344671138601596
22,1,0.45000000000000007,-0.5,-0.04394866123222152,-0.03964326981808819
23,1,0.5000000000000001,-0.5,-0.0404111938757401,-0.040916813557735354
24,1,0.5500000000000002,-0.5,-0.03648045216512408,-0.03835025638493916
0,2,-0.65,-0.45000000000000007,-0.047844290670067124,0.04690609262986811
1,2,-0.6,-0.45000000000000007,-0.05145002669811105,0.0337219420427326
2,2,-0.55,-0.45000000000000007,-0.053403629421130416,0.01742206630913179
3,2,-0.5,-0.45000000000000007,-0.04898640538099297,0.0034179065408446174
4,2,-0.45,-0.45000000000000007,-0.05099019911455893,-0.0021101264770084782
5,2,-0.4,-0.45000000000000007,-0.0695255653645721,0.0022370975219809797
6,2,-0.35,-0.45000000000000007,-0.09629513468417228,0.012953067261791684
7,2,-0.3,-0.45000000000000007,-0.11080095963515446,0.02545145478535238
8,2,-0.25,-0.45000000000000007,-0.1016638353359578,0.03581269303205348
9,2,-0.2,-0.45000000000000007,-0.07649495803919382,0.04101828169330468
10,2,-0.15000000000000002,-0.45000000000000007,-0.053700627497699216,0.040961021578734824
11,2,-0.09999999999999998,-0.45000000000000007,-0.053802367545661145,0.0405000407173739
12,2,-0.04999999999999993,-0.45000000000000007,-0.09123942885615022,0.04589548868208948
13,2,0.0,-0.45000000000000007,-0.15367106286438226,0.05577352788536327
14,2,0.050000000000000044,-0.45000000000000007,-0.19626029337172723,0.05890113925104967
15,2,0.09999999999999998,-0.45000000000000007,-0.18308187040060542,0.04670143519454939
16,2,0.15000000000000002,-0.45000000000000007,-0.1273120219771917,0.023791516453912642
17,2,0.20000000000000007,-0.45000000000000007,-0.07094525553060449,0.001065947194784922
18,2,0.25,-0.45000000000000007,-0.039859189611317625,-0.01595751849651661
19,2,0.30000000000000004,-0.45000000000000007,-0.03315484203097019,-0.02855215525672805
20,2,0.35,-0.45000000000000007,-0.039116998061899944,-0.038984139517520555
21,2,0.4,-0.45000000000000007,-0.0461024621765771,-0.046251789312121705
22,2,0.45000000000000007,-0.45000000000000007,-0.04592731298171948,-0.047668605850987866
23,2,0.5000000000000001,-0.45000000000000007,-0.0375400999622888,-0.04331654746713154
24,2,0.5500000000000002,-0.45000000000000007,-0.03173011876111076,-0.03642836138432637
0,3,-0.65,-0.4,-0.060977240509876296,0.026950861615493427
1,3,-0.6,-0.4,-0.06622577311774624,0.01769241422425183
2,3,-0.55,-0.4,-0.06870812915994451,0.006044884180322896
3,3,-0.5,-0.4,-0.058791174674232005,-0.004038572930985529
4,3,-0.45,-0.4,-0.05112455626119505,-0.007311197332829922
5,3,-0.4,-0.4,-0.06080119836519571,-0.001540455757376158
6,3,-0.35,-0.4,-0.08279540913673444,0.011126317063953062
7,3,-0.3,-0.4,-0.09698420793250562,0.026561860588527608
8,3,-0.25,-0.4,-0.09145629921675003,0.04056039134408218
9,3,-0.2,-0.4,-0.07233146635969412,0.0492180251312091
10,3,-0.15000000000000002,-0.4,-0.05403333354542239,0.05076057142125001
11,3,-0.09999999999999998,-0.4,-0.05302095599551637,0.04847081558075672
12,3,-0.04999999999999993,-0.4,-0.08588310650396336,0.04873692189957035
13,3,0.0,-0.4,-0.14909072914326638,0.05254939859651864
14,3,0.050000000000000044,-0.4,-0.2023333968123031,0.05114658904357139
15,3,0.09999999999999998,-0.4,-0.20221828355225235,0.0363269900580121
16,3,0.15000000000000002,-0.4,-0.1518844791381957,0.011668196805882936
17,3,0.20000000000000007,-0.4,-0.0925537726768233,-0.012715839523432804
18,3,0.25,-0.4,-0.0560462808269413,-0.03109059447106044
19,3,0.30000000000000004,-0.4,-0.045136597565678116,-0.043587160131387526
20,3,0.35,-0.4,-0.04683065245924989,-0.050938036471397385
21,3,0.4,-0.4,-0.047624613910637326,-0.051746872551803325
22,3,0.45000000000000007,-0.4,-0.041013419387231353,-0.045580512026293096
23,3,0.5000000000000001,-0.4,-0.029170949409078606,-0.03562786715174959
24,3,0.5500000000000002,-0.4,-0.022704079999513738,-0.026114489726519752
0,4,-0.65,-0.35000000000000003,-0.06636118545255032,-0.011793810617869438
1,4,-0.6,-0.35000000000000003,-0.07235600413328158,-0.010792687959931824
2,4,-0.55,-0.35000000000000003,-0.07513461657636777,-0.010025882476240033
3,4,-0.5,-0.35000000000000003,-0.06234248689414579,-0.009754743137995181
