first_scan,second_scan,common_cell_count,rms_mm
scan-20260719-081807,scan-20260719-081846,1348,20.32442792141642
scan-20260719-081807,scan-20260719-081908,1319,20.53040577643098
scan-20260719-081846,scan-20260719-081908,1329,15.48075232679979
