grid_x,grid_y,local_x_m,local_y_m,dh_dx,dh_dy
0,0,-1.0,-0.75,-0.0007712193517476519,0.006579732589021264
1,0,-0.95,-0.75,-0.0003840788642811739,0.0060530925343048325
2,0,-0.9,-0.75,0.002491958311119742,0.0051002137655645555
3,0,-0.85,-0.75,0.013281129370098788,0.0023854549469783104
4,0,-0.8,-0.75,0.03877070583397984,-0.005487818046880956
5,0,-0.75,-0.75,0.07752723337857673,-0.02209114573160937
6,0,-0.7,-0.75,0.11174926749881126,-0.044823915919367935
7,0,-0.6499999999999999,-0.75,0.1176105177803424,-0.06203847712120639
8,0,-0.6,-0.75,0.08718219868848243,-0.0620578103480212
9,0,-0.55,-0.75,0.03553206076179465,-0.044880568681828145
10,0,-0.5,-0.75,-0.012639800241850338,-0.022270091839918654
11,0,-0.44999999999999996,-0.75,-0.04139535752170218,-0.008025158627690474
12,0,-0.3999999999999999,-0.75,-0.053883878669053545,-0.008489668209885615
13,0,-0.35,-0.75,-0.06641830122048456,-0.01963834397838829
14,0,-0.29999999999999993,-0.75,-0.08982502188287753,-0.03199475383288963
15,0,-0.25,-0.75,-0.11780627237876938,-0.037911585052245976
16,0,-0.19999999999999996,-0.75,-0.13480654306083062,-0.0351792825545715
17,0,-0.1499999999999999,-0.75,-0.13244303566928767,-0.026643748568712534
18,0,-0.09999999999999998,-0.75,-0.11576770180773864,-0.017153914405330217
19,0,-0.04999999999999993,-0.75,-0.09496238517528387,-0.009610503035972981
20,0,0.0,-0.75,-0.07605616859736114,-0.003374720424331769
21,0,0.050000000000000044,-0.75,-0.06040574850505808,0.004098671283536068
22,0,0.10000000000000009,-0.75,-0.04714166795705299,0.014285835631025201
23,0,0.15000000000000013,-0.75,-0.03357129573421533,0.025005837515714655
24,0,0.20000000000000018,-0.75,-0.014766344715682334,0.03062560415607228
25,0,0.25,-0.75,0.01450317630994468,0.02684689635847594
26,0,0.30000000000000004,-0.75,0.052983306921566276,0.016004942721748044
27,0,0.3500000000000001,-0.75,0.08837615431011396,0.005691420393898958
28,0,0.40000000000000013,-0.75,0.10458448699539397,0.0015239823705822178
29,0,0.4500000000000002,-0.75,0.0956476298102522,0.002813077970570191
30,0,0.5,-0.75,0.0714882295693633,0.005964746150924662
31,0,0.55,-0.75,0.048826952639656834,0.009350938022178174
32,0,0.6000000000000001,-0.75,0.036760313066083725,0.01231874206176507
33,0,0.6500000000000001,-0.75,0.03198318984903486,0.012960847570922668
34,0,0.7000000000000002,-0.75,0.026602546767907565,0.010328125614594208
35,0,0.75,-0.75,0.017961039408579547,0.006390801292889721
36,0,0.8,-0.75,0.00937851282290389,0.0036452814983011818
37,0,0.8500000000000001,-0.75,0.005712362635957192,0.002613112788656183
0,1,-1.0,-0.7,-0.001297859406464083,0.010776724789881703
1,1,-0.95,-0.7,-0.001123838276009528,0.009648109111041825
2,1,-0.9,-0.7,0.0006581395174564807,0.008174956880200607
3,1,-0.85,-0.7,0.007987113463876032,0.0051986104348906645
4,1,-0.8,-0.7,0.026532405494686002,-0.0026925575749818
5,1,-0.75,-0.7,0.05785918444233325,-0.019699222585376364
6,1,-0.7,-0.7,0.09177560180401274,-0.044647682202012956
7,1,-0.6499999999999999,-0.7,0.10899357056601577,-0.0669288157672774
8,1,-0.6,-0.7,0.09576115290817154,-0.07369193351387168
9,1,-0.55,-0.7,0.055425920015845925,-0.06210887128617337
10,1,-0.5,-0.7,0.005787904785218498,-0.042269467305902676
11,1,-0.44999999999999996,-0.7,-0.03450514570668566,-0.028807016178378185
12,1,-0.3999999999999999,-0.7,-0.05969047134440245,-0.03014461252840498
13,1,-0.35,-0.7,-0.07817084403198657,-0.04335852529172568
14,1,-0.29999999999999993,-0.7,-0.09896164241980637,-0.05796322745642124
15,1,-0.25,-0.7,-0.11939853673961033,-0.06461549144548322
16,1,-0.19999999999999996,-0.7,-0.1291726248190639,-0.060769994664709504
17,1,-0.1499999999999999,-0.7,-0.12343035159466703,-0.050229581842597036
18,1,-0.09999999999999998,-0.7,-0.10725107904136885,-0.038740582890690684
19,1,-0.04999999999999993,-0.7,-0.08807278818478463,-0.029388249219469125
20,1,0.0,-0.7,-0.06920158143760662,-0.021411093882389362
21,1,0.050000000000000044,-0.7,-0.05157547047737959,-0.012221159305788563
22,1,0.10000000000000009,-0.7,-0.0366880848409637,-0.0003146336221326179
23,1,0.15000000000000013,-0.7,-0.02540141147169179,0.011967004137309577
24,1,0.20000000000000018,-0.7,-0.013845815294301692,0.01844115226551108
25,1,0.25,-0.7,0.007192845592782562,0.01441940399906097
26,1,0.30000000000000004,-0.7,0.042405568939277785,0.002846791202005955
27,1,0.3500000000000001,-0.7,0.08113567413453104,-0.007377902635225739
28,1,0.40000000000000013,-0.7,0.10314531578372958,-0.00985263927163629
29,1,0.4500000000000002,-0.7,0.09786801170042342,-0.005355051855240704
30,1,0.5,-0.7,0.0747571595951673,0.0018430336651986418
31,1,0.55,-0.7,0.05200395059507703,0.008794729143834877
32,1,0.6000000000000001,-0.7,0.03856526784045597,0.01356108664373763
33,1,0.6500000000000001,-0.7,0.03098788162544943,0.01426768452485275
34,1,0.7000000000000002,-0.7,0.02331752362889109,0.01124972368921138
35,1,0.75,-0.7,0.014619617350433035,0.007590607241956633
36,1,0.8,-0.7,0.00748966857078712,0.005878028222343458
37,1,0.8500000000000001,-0.7,0.004680193926312193,0.006137223015040237
0,2,-1.0,-0.65,-0.0030284507094274077,0.0241066416067003
1,2,-0.95,-0.65,-0.0029858467739622696,0.020597618788956586
2,2,-0.9,-0.65,-0.001957540365031419,0.01699708971819926
3,2,-0.85,-0.65,0.00241361491491638,0.012967425205874343
4,2,-0.8,-0.65,0.013872872813712814,0.005610122204618333
5,2,-0.75,-0.65,0.03557210875154558,-0.010080087366237927
6,2,-0.7,-0.65,0.06451967431691022,-0.03612690385893206
7,2,-0.6499999999999999,-0.65,0.08856626646848367,-0.06606180193928647
8,2,-0.6,-0.65,0.09200214316958645,-0.08756309456124743
9,2,-0.55,-0.65,0.06695452696976366,-0.09297650845019534
10,2,-0.5,-0.65,0.02066205486594485,-0.08654765852048284
11,2,-0.44999999999999996,-0.65,-0.029270502744204487,-0.08094957651468039
12,2,-0.3999999999999999,-0.65,-0.06843538778240103,-0.08682350635645746
13,2,-0.35,-0.65,-0.09423691614850081,-0.10383402737323487
14,2,-0.29999999999999993,-0.65,-0.11108198803663506,-0.12118696779481013
15,2,-0.25,-0.65,-0.12061303958705766,-0.1279921370838837
16,2,-0.19999999999999996,-0.65,-0.12042063345794447,-0.1220762546996867
17,2,-0.1499999999999999,-0.65,-0.11041362389526885,-0.10894468379356295
18,2,-0.09999999999999998,-0.65,-0.09492636918461073,-0.09518729948986955
19,2,-0.04999999999999993,-0.65,-0.07763289616698255,-0.08363602790871248
20,2,0.0,-0.65,-0.05888907868368058,-0.07343024692088204
21,2,0.050000000000000044,-0.65,-0.03930928824480134,-0.062472486652061995
22,2,0.10000000000000009,-0.65,-0.02295350451395485,-0.0494833608368651
23,2,0.15000000000000013,-0.65,-0.01481550984657163,-0.03630144805895283
24,2,0.20000000000000018,-0.65,-0.01231394485393094,-0.028469805856183757
25,2,0.25,-0.65,-0.0010911847535604452,-0.030479706495510732
26,2,0.30000000000000004,-0.65,0.031186000287279567,-0.03928045331469586
27,2,0.3500000000000001,-0.65,0.07567672383647171,-0.04540025516509064
28,2,0.40000000000000013,-0.65,0.10660733777537901,-0.041511705552726236
29,2,0.4500000000000002,-0.65,0.10734330274708714,-0.02767711937095796
30,2,0.5,-0.65,0.08563801056843888,-0.009422935568027865
31,2,0.55,-0.65,0.06054500561819582,0.00635994086575545
32,2,0.6000000000000001,-0.65,0.042233268447101596,0.014850869213246905
33,2,0.6500000000000001,-0.65,0.029671826894508615,0.015713085864196903
34,2,0.7000000000000002,-0.65,0.019925469485011445,0.01318211206166345
35,2,0.75,-0.65,0.012589343941711625,0.012623729597331093
36,2,0.8,-0.65,0.007925128595987494,0.016062978977449516
37,2,0.8500000000000001,-0.65,0.006230752221350749,0.021765037409621976
0,3,-1.0,-0.6,-0.00831590504195151,0.04911029477057288
1,3,-0.95,-0.6,-0.008233390164510569,0.040609428721341094
2,3,-0.9,-0.6,-0.006972054065625764,0.03208330899318542
3,3,-0.85,-0.6,-0.0033998540497048955,0.024988224954907295
4,3,-0.8,-0.6,0.0034848929225737325,0.018097432256956626
5,3,-0.75,-0.6,0.01612215837878285,0.006714470622061989
6,3,-0.7,-0.6,0.0357938872309642,-0.01395044190878431
7,3,-0.6499999999999999,-0.6,0.057557379863700395,-0.04372934368838099
8,3,-0.6,-0.6,0.06884644639726267,-0.07590333328545504
9,3,-0.55,-0.6,0.05644135605661052,-0.1017974581909189
10,3,-0.5,-0.6,0.017814836720733453,-0.11800088444715776
11,3,-0.44999999999999996,-0.6,-0.03478099354266028,-0.12934175018638633
12,3,-0.3999999999999999,-0.6,-0.08257492220295692,-0.14390262767118986
13,3,-0.35,-0.6,-0.11253430547033923,-0.16328736900428925
14,3,-0.29999999999999993,-0.6,-0.12311975213045523,-0.17945237278297366
15,3,-0.25,-0.6,-0.1202878236444869,-0.18391942368889677
16,3,-0.19999999999999996,-0.6,-0.11012517152874314,-0.17674265211394888
17,3,-0.1499999999999999,-0.6,-0.09654139638484988,-0.16427581970529243
18,3,-0.09999999999999998,-0.6,-0.08194242315651838,-0.15211361594956344
19,3,-0.04999999999999993,-0.6,-0.06631573561579715,-0.14187646446586163
20,3,0.0,-0.6,-0.048038040180956136,-0.1328277947971115
21,3,0.050000000000000044,-0.6,-0.027628584393362653,-0.12411793996714715
22,3,0.10000000000000009,-0.6,-0.01051704624785453,-0.11511966223589895
23,3,0.15000000000000013,-0.6,-0.004387856491010443,-0.10588342261074475
24,3,0.20000000000000018,-0.6,-0.008024073730859595,-0.09814827980184233
25,3,0.25,-0.6,-0.0036178018657295405,-0.09412965512938551
26,3,0.30000000000000004,-0.6,0.027485020269697874,-0.09280170757726326
27,3,0.3500000000000001,-0.6,0.07890442189650067,-0.0885133691769531
28,3,0.40000000000000013,-0.6,0.12086845157786227,-0.07479592251174572
29,3,0.4500000000000002,-0.6,0.12995678168512179,-0.04974094915261275
30,3,0.5,-0.6,0.1087942198318807,-0.019692493106071893
31,3,0.55,-0.6,0.0762777553763518,0.0037866698156568132
32,3,0.6000000000000001,-0.6,0.04791841283889743,0.014338480275788322
33,3,0.6500000000000001,-0.6,0.029319124473865973,0.016054641063534724
34,3,0.7000000000000002,-0.6,0.02022816736202528,0.01833416115072796
35,3,0.75,-0.6,0.017500484266219102,0.027787997340071945
36,3,0.8,-0.6,0.016630976383078002,0.04381046797080585
37,3,0.8500000000000001,-0.6,0.01608431079065711,0.06122735615946638
0,4,-1.0,-0.55,-0.02003018280789099,0.08358497114193589
1,4,-0.95,-0.55,-0.020012832551349734,0.0693308737885313
2,4,-0.9,-0.55,-0.017578744131465217,0.053885252172361106
3,4,-0.85,-0.55,-0.011572261821312414,0.040889335135413825
4,4,-0.8,-0.55,-0.004400881519132493,0.031947759915720755
5,4,-0.75,-0.55,0.0035242345858046455,0.024143961012892297
6,4,-0.7,-0.55,0.014075860006467246,0.011936412654234771
7,4,-0.6499999999999999,-0.55,0.02661337509181294,-0.009079069071720128
8,4,-0.6,-0.55,0.03393402866704854,-0.03912156050905226
9,4,-0.55,-0.55,0.024856975808060944,-0.07329348093976691
10,4,-0.5,-0.55,-0.006882237129522597,-0.10463557489510109
11,4,-0.44999999999999996,-0.55,-0.05517224596823659,-0.12994274499315736
12,4,-0.3999999999999999,-0.55,-0.10238100660030394,-0.1514491702278436
13,4,-0.35,-0.55,-0.1297866612602846,-0.1703789312469816
14,4,-0.29999999999999993,-0.55,-0.13171404272124257,-0.18244099172255668
15,4,-0.25,-0.55,-0.11790331891803288,-0.18376234379092782
16,4,-0.19999999999999996,-0.55,-0.10077702947434015,-0.1768855311467223
17,4,-0.1499999999999999,-0.55,-0.0857845877308834,-0.16769266480036324
18,4,-0.09999999999999998,-0.55,-0.07252701394517991,-0.1598427343642765
19,4,-0.04999999999999993,-0.55,-0.05834707501453061,-0.1536817041801475
20,4,0.0,-0.55,-0.0411305541849661,-0.14865239229738847
21,4,0.050000000000000044,-0.55,-0.02160115568358878,-0.14496544015027665
22,4,0.10000000000000009,-0.55,-0.004718987157552451,-0.14268214112402527
23,4,0.15000000000000013,-0.55,0.0021558725874849805,-0.14018229879475486
24,4,0.20000000000000018,-0.55,-0.0005601773725717046,-0.13467279833437942
25,4,0.25,-0.55,0.004255387471018626,-0.12497697983316489
26,4,0.30000000000000004,-0.55,0.03680228623971198,-0.11267546275973882
27,4,0.3500000000000001,-0.55,0.09368250890198926,-0.0983743440867402
28,4,0.40000000000000013,-0.55,0.14537975779971934,-0.07847378385578661
29,4,0.4500000000000002,-0.55,0.16244673215276095,-0.04964504700042647
30,4,0.5,-0.55,0.13916562953670844,-0.017747929946042025
31,4,0.55,-0.55,0.09457597900005603,0.004872297478229477
32,4,0.6000000000000001,-0.55,0.054501239694979504,0.01444891675845768
33,4,0.6500000000000001,-0.55,0.03366750776944825,0.020306115921600205
34,4,0.7000000000000002,-0.55,0.031658825761548666,0.03457872545715146
35,4,0.75,-0.55,0.03806565076178951,0.061638980166278085
36,4,0.8,-0.55,0.04136448741538193,0.09552668575828795
37,4,0.8500000000000001,-0.55,0.04106452859867181,0.12695013929866786
0,5,-1.0,-0.5,-0.0368240997487607,0.11273390673468657
1,5,-0.95,-0.5,-0.037933109134085354,0.09768838666952892
2,5,-0.9,-0.5,-0.03541359271874324,0.07851201642840909
3,5,-0.85,-0.5,-0.025337346306345248,0.05945186039567359
4,5,-0.8,-0.5,-0.013260481199947795,0.04525671885165958
5,5,-0.75,-0.5,-0.0038891888827031346,0.036591992299354094
6,5,-0.7,-0.5,0.0025708571463517807,0.029680155246388333
7,5,-0.6499999999999999,-0.5,0.0064994067004133654,0.019095749024895508
8,5,-0.6,-0.5,0.00463203452921588,0.0007021770603272796
9,5,-0.55,-0.5,-0.00907265832943831,-0.025426088167057066
10,5,-0.5,-0.5,-0.038834427332657004,-0.054304946935020325
11,5,-0.44999999999999996,-0.5,-0.0815945888754028,-0.08021280878350505
12,5,-0.3999999999999999,-0.5,-0.12301110845678118,-0.10112148713813118
13,5,-0.35,-0.5,-0.1435261269650523,-0.1165845609140527
14,5,-0.29999999999999993,-0.5,-0.13650316467440143,-0.12457521679341367
15,5,-0.25,-0.5,-0.11473236306865253,-0.12439615359724047
16,5,-0.19999999999999996,-0.5,-0.09405549253817855,-0.11938630163224657
17,5,-0.1499999999999999,-0.5,-0.07949859960240407,-0.11403130443744305
18,5,-0.09999999999999998,-0.5,-0.06793146253630265,-0.11040699732570852
19,5,-0.04999999999999993,-0.5,-0.05512539354890912,-0.10823501409521867
20,5,0.0,-0.5,-0.039321776151085286,-0.10703734809014487
21,5,0.050000000000000044,-0.5,-0.021658333219999465,-0.10723110675765458
22,5,0.10000000000000009,-0.5,-0.00573390489233272,-0.1091640975785655
23,5,0.15000000000000013,-0.5,0.003621486298635429,-0.11103453625241524
24,5,0.20000000000000018,-0.5,0.007181245230730368,-0.10831357780204873
25,5,0.25,-0.5,0.01837953370891106,-0.0976781223055568
26,5,0.30000000000000004,-0.5,0.05408765601612256,-0.08161051476806264
27,5,0.3500000000000001,-0.5,0.11310610080045289,-0.06487895346311823
28,5,0.40000000000000013,-0.5,0.169597748664176,-0.04732000294708504
29,5,0.4500000000000002,-0.5,0.1906826355948664,-0.02606153326340229
30,5,0.5,-0.5,0.16331156431053664,-0.0044809560768868575
31,5,0.55,-0.5,0.10847460208085151,0.010360270070156954
32,5,0.6000000000000001,-0.5,0.06335223128226815,0.020354238206684867
33,5,0.6500000000000001,-0.5,0.04944893317255975,0.03695387801371559
34,5,0.7000000000000002,-0.5,0.061561031606703155,0.06911436988726806
35,5,0.75,-0.5,0.07844844456735559,0.11397039718053907
36,5,0.8,-0.5,0.08194213551546779,0.1592026805183095
37,5,0.8500000000000001,-0.5,0.07893121787141695,0.1945959807197177
0,6,-1.0,-0.44999999999999996,-0.050121222938206283,0.11785858891004371
1,6,-0.95,-0.44999999999999996,-0.05423472285762721,0.11088224385095169
2,6,-0.9,-0.44999999999999996,-0.05581527040532054,0.09700551276435579
3,6,-0.85,-0.44999999999999996,-0.04482755939806193,0.07753269879007078
4,6,-0.8,-0.44999999999999996,-0.027260749615451996,0.05814469978112923
5,6,-0.75,-0.44999999999999996,-0.012052329019466602,0.04402748056109519
6,6,-0.7,-0.44999999999999996,-0.00342038326799134,0.03567356123955839
7,6,-0.6499999999999999,-0.44999999999999996,-0.0023646030942481126,0.029669732632905815
8,6,-0.6,-0.44999999999999996,-0.010587808524904034,0.021626578635372314
9,6,-0.55,-0.44999999999999996,-0.030150148187286663,0.009122442618220514
10,6,-0.5,-0.44999999999999996,-0.06166895774597057,-0.006708831436167788
11,6,-0.44999999999999996,-0.44999999999999996,-0.10198878617134745,-0.022744622821713474
12,6,-0.3999999999999999,-0.44999999999999996,-0.13875275873085158,-0.03682439045491651
13,6,-0.35,-0.44999999999999996,-0.1532403909155671,-0.04764518680341027
14,6,-0.29999999999999993,-0.44999999999999996,-0.13952563540443036,-0.05349252394146818
15,6,-0.25,-0.44999999999999996,-0.1127144037568658,-0.05396547648565581
16,6,-0.19999999999999996,-0.44999999999999996,-0.09041218031454273,-0.05147194951901458
17,6,-0.1499999999999999,-0.44999999999999996,-0.07680528342434534,-0.049143673757781094
18,6,-0.09999999999999998,-0.44999999999999996,-0.06673072360295552,-0.04828566697639418
19,6,-0.04999999999999993,-0.44999999999999996,-0.05497742577896696,-0.04848062412400295
20,6,0.0,-0.44999999999999996,-0.04012664684740201,-0.04912073979407544
21,6,0.050000000000000044,-0.44999999999999996,-0.023727905172009414,-0.050105544810962535
22,6,0.10000000000000009,-0.44999999999999996,-0.008522416652313111,-0.051581893623056166
23,6,0.15000000000000013,-0.44999999999999996,0.003006392364001756,-0.052878014079740035
24,6,0.20000000000000018,-0.44999999999999996,0.012796236574286746,-0.05118744537537939
25,6,0.25,-0.44999999999999996,0.030958450505004717,-0.04342812827722961
26,6,0.30000000000000004,-0.44999999999999996,0.06960145508215054,-0.030916083688485863
27,6,0.3500000000000001,-0.44999999999999996,0.12797302072296685,-0.018396873551869003
28,6,0.40000000000000013,-0.44999999999999996,0.1841971779994353,-0.007813655481720937
29,6,0.4500000000000002,-0.44999999999999996,0.20528577902295914,0.002251035224553402
30,6,0.5,-0.44999999999999996,0.17558743287026768,0.012067209919874988
31,6,0.55,-0.44999999999999996,0.11941117328362776,0.022456040912802733
32,6,0.6000000000000001,-0.44999999999999996,0.08109484763853814,0.03994118147978188
33,6,0.6500000000000001,-0.44999999999999996,0.08242763945003145,0.07261101330013735
34,6,0.7000000000000002,-0.44999999999999996,0.10867534492837215,0.11974938764150456
35,6,0.75,-0.44999999999999996,0.12815396139283092,0.16875645595390315
36,6,0.8,-0.44999999999999996,0.12199007095456058,0.20550942225759375
37,6,0.8500000000000001,-0.44999999999999996,0.11185112900148828,0.22605667588673833
0,7,-1.0,-0.39999999999999997,-0.05077678986694471,0.09503788275539676
1,7,-0.95,-0.39999999999999997,-0.05878618527977327,0.10069246944802157
2,7,-0.9,-0.39999999999999997,-0.06876313777962414,0.10023519038652433
3,7,-0.85,-0.39999999999999997,-0.0641981592895718,0.08958534201168983
4,7,-0.8,-0.39999999999999997,-0.04676569942892339,0.0707236303802795
5,7,-0.75,-0.39999999999999997,-0.026360327424273973,0.05085904341755804
6,7,-0.7,-0.39999999999999997,-0.0117868907818376,0.03584205167628179
7,7,-0.6499999999999999,-0.39999999999999997,-0.007547575903772714,0.026801331304857
8,7,-0.6,-0.39999999999999997,-0.01591525548546942,0.021807633733038935
9,7,-0.55,-0.39999999999999997,-0.03740806840097841,0.018536026653288157
10,7,-0.5,-0.39999999999999997,-0.070701492772591,0.015281569583076044
11,7,-0.44999999999999996,-0.39999999999999997,-0.11171014789415153,0.010884430429524052
