first_scan,second_scan,common_cell_count,rms_mm
scan-20260719-092148,scan-20260719-092215,1572,10.700597700998417
scan-20260719-092148,scan-20260719-092236,1970,24.551249528954493
scan-20260719-092215,scan-20260719-092236,1575,15.656818417292502
