grid_x,grid_y,local_x_m,local_y_m,dh_dx,dh_dy
0,0,-1.9000000000000001,-3.45,-0.005843838443133631,0.0010553308223570923
1,0,-1.85,-3.45,-0.008512513846895553,0.0018557575554600803
2,0,-1.8,-3.45,-0.014243032082839058,0.0034621515920263413
3,0,-1.75,-3.45,-0.01876351771675111,0.005695592908805391
4,0,-1.7000000000000002,-3.45,-0.018823373912754127,0.0073591668851680225
5,0,-1.6500000000000001,-3.45,-0.014141211433100764,0.007134726131827751
6,0,-1.6,-3.45,-0.007400200303786519,0.00505352171022766
7,0,-1.55,-3.45,-0.0010704338507705469,0.0023323036517264306
8,0,-1.5,-3.45,0.004114699604401695,0.00010197218263119368
9,0,-1.4500000000000002,-3.45,0.008109369628650498,-0.0009370163192934378
10,0,-1.4000000000000001,-3.45,0.010479168532265826,-0.0001258548532012682
11,0,-1.35,-3.45,0.010345322468620077,0.002488779022269405
12,0,-1.3,-3.45,0.007008534657388932,0.005105120263650953
13,0,-1.25,-3.45,0.0014798787234304722,0.005555941836528078
14,0,-1.2000000000000002,-3.45,-0.0025515772052486785,0.004407478244092822
15,0,-1.1500000000000001,-3.45,2.281473630239006e-05,0.005570453343857196
16,0,-1.1,-3.45,0.01456385787173442,0.014175702216157049
17,0,-1.05,-3.45,0.046449697830128756,0.033792610594511885
18,0,-1.0,-3.45,0.09638906903198574,0.06155467744111798
19,0,-0.9500000000000001,-3.45,0.15079752685619563,0.08455182020210783
20,0,-0.9000000000000001,-3.45,0.18176731069508345,0.0874125343742782
21,0,-0.8500000000000001,-3.45,0.16806234017227029,0.0672149910648101
22,0,-0.8,-3.45,0.11602941344740714,0.035113238947062086
23,0,-0.75,-3.45,0.050038735275961255,0.0024240159492494584
24,0,-0.7,-3.45,-0.012208392152699421,-0.026185239084637324
25,0,-0.6500000000000001,-3.45,-0.06345181043897585,-0.04690364558408433
26,0,-0.6000000000000001,-3.45,-0.09591472324610328,-0.05441227877539978
27,0,-0.55,-3.45,-0.10112822844750347,-0.046468268996227025
28,0,-0.5,-3.45,-0.07810455570016805,-0.026140638413403305
29,0,-0.44999999999999996,-3.45,-0.0347910873511148,0.0007503600603464555
30,0,-0.40000000000000013,-3.45,0.016767884194767158,0.026829451545618
31,0,-0.3500000000000001,-3.45,0.06081163060740358,0.041349650377131564
32,0,-0.30000000000000004,-3.45,0.07699206316282514,0.035032034279951496
33,0,-0.25,-3.45,0.05471373157498127,0.012602170674760327
34,0,-0.19999999999999996,-3.45,0.011511159698035511,-0.007930704761511809
35,0,-0.15000000000000013,-3.45,-0.020767587024108636,-0.01586150833550848
36,0,-0.10000000000000009,-3.45,-0.032549009690920894,-0.0188034140998794
37,0,-0.050000000000000044,-3.45,-0.04186406597881831,-0.027395762264088575
38,0,0.0,-3.45,-0.06176693476338979,-0.03890917279616879
39,0,0.050000000000000044,-3.45,-0.08061566270638254,-0.0422426550186894
40,0,0.09999999999999987,-3.45,-0.07950842662675872,-0.03315233622971592
41,0,0.15000000000000013,-3.45,-0.0571898448359609,-0.018565580088349964
42,0,0.19999999999999996,-3.45,-0.029672003462819507,-0.007321407869533836
43,0,0.24999999999999978,-3.45,-0.010980411445059568,-0.002018511792467592
44,0,0.30000000000000004,-3.45,-0.002937069086078603,-0.0004851109630021888
45,0,0.34999999999999987,-3.45,-0.0009118895956372608,-0.00047519448524102614
46,0,0.40000000000000013,-3.45,-0.0013614528552274852,-0.0012394037743690411
47,0,0.44999999999999996,-3.45,-0.0032912768945869697,-0.002786654095341401
48,0,0.5000000000000002,-3.45,-0.006545451777751898,-0.004930999164058925
49,0,0.55,-3.45,-0.010084782501705858,-0.006808726622462569
50,0,0.5999999999999999,-3.45,-0.011861887304607244,-0.007374259699473029
51,0,0.6500000000000001,-3.45,-0.010817404522395213,-0.006498024233492217
52,0,0.7,-3.45,-0.0096076644379961,-0.00497640357149054
0,1,-1.9000000000000001,-3.4000000000000004,-0.005043411710030643,0.0011831959384400736
1,1,-1.85,-3.4000000000000004,-0.0073091034620609285,0.0019980748996761832
2,1,-1.8,-3.4000000000000004,-0.012323114406166402,0.003624318261039594
3,1,-1.75,-3.4000000000000004,-0.01681501007018027,0.006001384505244234
4,1,-1.7000000000000002,-3.4000000000000004,-0.018103807301242947,0.00806873486929316
5,1,-1.6500000000000001,-3.4000000000000004,-0.015294034020570946,0.008356664874985542
6,1,-1.6,-3.4000000000000004,-0.00980141154383718,0.006467185502381234
7,1,-1.55,-3.4000000000000004,-0.00354620861456878,0.003407613823452893
8,1,-1.5,-3.4000000000000004,0.0024800396188917606,0.0005089252263557054
9,1,-1.4500000000000002,-3.4000000000000004,0.007995456110734267,-0.0012921942471488812
10,1,-1.4000000000000001,-3.4000000000000004,0.012192066203047247,-0.001241693938078825
11,1,-1.35,-3.4000000000000004,0.012960810027046188,0.0008171845365201325
12,1,-1.3,-3.4000000000000004,0.008542116064518268,0.0034618017584797656
13,1,-1.25,-3.4000000000000004,0.0011310577136514066,0.0047061888579358335
14,1,-1.2000000000000002,-3.4000000000000004,-0.0025443214515841195,0.005000248718373124
15,1,-1.1500000000000001,-3.4000000000000004,0.004906926722334504,0.008457117790933166
16,1,-1.1,-3.4000000000000004,0.028674936497061765,0.020885997363462305
17,1,-1.05,-3.4000000000000004,0.07013918544260922,0.045530245281437676
18,1,-1.0,-3.4000000000000004,0.12176867383578371,0.07682070607584301
19,1,-0.9500000000000001,-3.4000000000000004,0.16372645532277574,0.09880000235087727
20,1,-0.9000000000000001,-3.4000000000000004,0.1730988961264346,0.09633812809701658
21,1,-0.8500000000000001,-3.4000000000000004,0.14191269245866223,0.06942721258068607
22,1,-0.8,-3.4000000000000004,0.08363392588962681,0.031210948402425887
23,1,-0.75,-3.4000000000000004,0.01938949626011155,-0.00637235606579134
24,1,-0.7,-3.4000000000000004,-0.036872222919366315,-0.037665796839334575
25,1,-0.6500000000000001,-3.4000000000000004,-0.07756533028435708,-0.057804064447678494
26,1,-0.6000000000000001,-3.4000000000000004,-0.09569703495217463,-0.06164922760180214
27,1,-0.55,-3.4000000000000004,-0.08699240826650523,-0.048196154426204396
28,1,-0.5,-3.4000000000000004,-0.054495241171881315,-0.021930341667413256
29,1,-0.44999999999999996,-3.4000000000000004,-0.00830604237160415,0.009491583394696246
30,1,-0.40000000000000013,-3.4000000000000004,0.03706752935315971,0.03614173056767589
31,1,-0.3500000000000001,-3.4000000000000004,0.06491292197457033,0.04634766594783457
32,1,-0.30000000000000004,-3.4000000000000004,0.06261832331163952,0.03409604817844469
33,1,-0.25,-3.4000000000000004,0.03323236205424962,0.008641101742360435
34,1,-0.19999999999999996,-3.4000000000000004,-0.0027206798070988913,-0.011830289456538079
35,1,-0.15000000000000013,-3.4000000000000004,-0.026203941693292432,-0.020233024412027456
36,1,-0.10000000000000009,-3.4000000000000004,-0.03831613665521094,-0.02577719449467275
37,1,-0.050000000000000044,-3.4000000000000004,-0.051916945326963004,-0.03667392622396237
38,1,0.0,-3.4000000000000004,-0.0691903811406902,-0.04749155633632429
39,1,0.050000000000000044,-3.4000000000000004,-0.0777372444231561,-0.047528045079634484
40,1,0.09999999999999987,-3.4000000000000004,-0.067669889161589,-0.035096515210103485
41,1,0.15000000000000013,-3.4000000000000004,-0.04427438065586986,-0.018790029636375216
42,1,0.19999999999999996,-3.4000000000000004,-0.02139846931487832,-0.007176479387615009
43,1,0.24999999999999978,-3.4000000000000004,-0.0075622629917937445,-0.001971958790090156
44,1,0.30000000000000004,-3.4000000000000004,-0.00216541043246532,-0.0006087726360382018
45,1,0.34999999999999987,-3.4000000000000004,-0.001289036001320687,-0.0008624749594243752
46,1,0.40000000000000013,-3.4000000000000004,-0.0025171826602776726,-0.002048591061116767
47,1,0.44999999999999996,-3.4000000000000004,-0.005137074589431911,-0.004080879087509093
48,1,0.5000000000000002,-3.4000000000000004,-0.008556488041312482,-0.006501852810346653
49,1,0.55,-3.4000000000000004,-0.01130641276941291,-0.00822261864388274
50,1,0.5999999999999999,-3.4000000000000004,-0.011706536110122068,-0.008296615919429762
51,1,0.6500000000000001,-3.4000000000000004,-0.009618476458403968,-0.0069201761868797895
52,1,0.7,-3.4000000000000004,-0.008086043775994423,-0.0050886906767178
0,2,-1.9000000000000001,-3.35,-0.004214080520661412,0.0014779571464618169
1,2,-1.85,-3.35,-0.006071391524296033,0.002300266930064243
2,2,-1.8,-3.35,-0.010239722477271007,0.0038661950567497883
3,2,-1.75,-3.35,-0.014319101108497545,0.006314826323227107
4,2,-1.7000000000000002,-3.35,-0.01646809354301282,0.008988414236216213
5,2,-1.6500000000000001,-3.35,-0.01574276080001269,0.010351503761792946
6,2,-1.6,-3.35,-0.012349251355319169,0.00915535208985796
7,2,-1.55,-3.35,-0.007028694126796076,0.00569827256113431
8,2,-1.5,-3.35,-0.0005851084662000794,0.0014502518442172097
9,2,-1.4500000000000002,-3.35,0.006358750464215968,-0.0022306489014634057
10,2,-1.4000000000000001,-3.35,0.01258854731593484,-0.00432939253408926
11,2,-1.35,-3.35,0.015048818165178668,-0.004040550735606718
12,2,-1.3,-3.35,0.010897538978804633,-0.001533206316240987
13,2,-1.25,-3.35,0.0030183256833238303,0.0019594579145665314
14,2,-1.2000000000000002,-3.35,0.0011993517277486543,0.006399064740263416
15,2,-1.1500000000000001,-3.35,0.01590856338139157,0.01549374016147853
16,2,-1.1,-3.35,0.05163698536223893,0.03549431293413563
17,2,-1.05,-3.35,0.10238440654250947,0.0681283821158174
18,2,-1.0,-3.35,0.14965882610142534,0.10232888520076977
19,2,-0.9500000000000001,-3.35,0.1703149488773692,0.11780697910472981
20,2,-0.9000000000000001,-3.35,0.15239452092489225,0.10236807815862337
21,2,-0.8500000000000001,-3.35,0.10293516047767959,0.06245788903828098
22,2,-0.8,-3.35,0.040229844800929726,0.014287103954023772
23,2,-0.75,-3.35,-0.018838009965799207,-0.029432139682122882
24,2,-0.7,-3.35,-0.06364010053458657,-0.06125669299679837
25,2,-0.6500000000000001,-3.35,-0.08743524120144341,-0.0752583210807456
26,2,-0.6000000000000001,-3.35,-0.08630681322462919,-0.06809840491300734
27,2,-0.55,-3.35,-0.061409342513114584,-0.04211642512198299
28,2,-0.5,-3.35,-0.020416817879267413,-0.0052826758315205335
29,2,-0.44999999999999996,-3.35,0.023280984883974343,0.03048564231204587
30,2,-0.40000000000000013,-3.35,0.05362396674790548,0.05159445211184166
