first_scan,second_scan,common_cell_count,rms_mm
scan-20260719-092215,scan-20260719-092236,1575,15.656818417292499
scan-20260719-092215,scan-20260719-092301,1584,15.366170951159111
scan-20260719-092236,scan-20260719-092301,2576,22.736283020534056
