grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-2.1,-0.65,-0.7853520810604095,false,true
1,0,-2.0500000000000003,-0.65,-0.7841255645289881,false,true
2,0,-2.0,-0.65,-0.7830557227069154,false,true
3,0,-1.9500000000000002,-0.65,-0.7830557227098127,false,true
4,0,-1.9000000000000001,-0.65,-0.7830557227116415,false,true
5,0,-1.85,-0.65,-0.7830557227134705,false,true
6,0,-1.8,-0.65,-0.7829625397315496,false,true
7,0,-1.75,-0.65,-0.7828812599084336,false,true
8,0,-1.7000000000000002,-0.65,-0.7828812599182128,false,true
9,0,-1.6500000000000001,-0.65,-0.7828812598839091,false,true
10,0,-1.6,-0.65,-0.7817389827887316,false,true
11,0,-1.55,-0.65,-0.7799999713530833,false,true
12,0,-1.5,-0.65,-0.7799999713852084,false,true
13,0,-1.4500000000000002,-0.65,-0.7799999713897705,false,true
14,0,-1.4,-0.65,-0.7799999713897705,false,true
15,0,-1.35,-0.65,-0.780819430946919,false,true
16,0,-1.3,-0.65,-0.781638890504837,false,true
17,0,-1.25,-0.65,-0.7808194308919026,false,true
18,0,-1.2000000000000002,-0.65,-0.7799999713897705,false,true
19,0,-1.15,-0.65,-0.7800000739637424,false,true
20,0,-1.1,-0.65,-0.780000110229634,false,true
21,0,-1.05,-0.65,-0.7799999713897705,false,true
22,0,-1.0,-0.65,-0.7769338491671547,false,true
23,0,-0.95,-0.65,-0.7738677263259888,false,true
24,0,-0.8999999999999999,-0.65,-0.8022901526594927,false,true
25,0,-0.8500000000000001,-0.65,-0.8270957561387755,false,true
26,0,-0.8,-0.65,-0.8271227677896142,false,true
27,0,-0.75,-0.65,-0.8271452482982931,false,true
28,0,-0.7,-0.65,-0.8271636580155429,false,true
29,0,-0.6499999999999999,-0.65,-0.8271783450362772,false,true
30,0,-0.6000000000000001,-0.65,-0.8271955519513878,false,true
31,0,-0.55,-0.65,-0.8337163269593371,false,true
32,0,-0.5,-0.65,-0.8395396315385975,false,true
