first_scan,second_scan,common_cell_count,rms_mm
scan-20260719-092301,scan-20260719-092328,1546,15.993560371296518
scan-20260719-092301,scan-20260719-092358,2256,32.353480822863936
scan-20260719-092328,scan-20260719-092358,1550,25.57254470174984
