first_scan,second_scan,common_cell_count,rms_mm
scan-20260719-092119,scan-20260719-092148,1644,29.57734186175008
scan-20260719-092119,scan-20260719-092215,1648,31.873229085315632
scan-20260719-092148,scan-20260719-092215,1572,10.700597700998415
