first_scan,second_scan,common_cell_count,rms_mm
scan-20260719-081846,scan-20260719-081908,1329,15.48075232679979
scan-20260719-081846,scan-20260719-081935,1365,17.89144101263219
scan-20260719-081908,scan-20260719-081935,1368,19.373732648981317
