grid_x,grid_y,local_x_m,local_y_m,dh_dx,dh_dy
0,0,-0.8,-0.65,-0.030096176276810382,0.0116946161343634
1,0,-0.75,-0.65,-0.03612824213666488,0.017727000830995987
2,0,-0.7000000000000001,-0.65,-0.04760400034066303,0.023119020346855645
3,0,-0.65,-0.65,-0.058748676912147024,0.026359206225006204
4,0,-0.6000000000000001,-0.65,-0.07086435424516369,0.028369476182921183
5,0,-0.55,-0.65,-0.0801117369759019,0.030518647103745522
6,0,-0.5,-0.65,-0.07790040987069813,0.030849396158578735
7,0,-0.45,-0.65,-0.06282399485730616,0.026631166281343432
8,0,-0.4,-0.65,-0.044453668714412586,0.019057056493438917
9,0,-0.35000000000000003,-0.65,-0.03230565541336827,0.011673012482604772
10,0,-0.30000000000000004,-0.65,-0.026991677470805664,0.006084253149498675
11,0,-0.25,-0.65,-0.02435213117182533,0.0016564306872846046
12,0,-0.19999999999999996,-0.65,-0.02601450855159393,-0.0012396119378577097
13,0,-0.15000000000000002,-0.65,-0.0425620016986783,0.0013202574108861498
14,0,-0.09999999999999998,-0.65,-0.08177695432916021,0.014384081126290749
15,0,-0.050000000000000044,-0.65,-0.13334274867382256,0.03604869477737527
16,0,0.0,-0.65,-0.17198223869707707,0.0525338734644798
17,0,0.050000000000000044,-0.65,-0.17902102439154577,0.04787124476709925
18,0,0.09999999999999998,-0.65,-0.1580106961631189,0.021219968531813738
19,0,0.15000000000000002,-0.65,-0.1287000157687268,-0.01131473261961835
20,0,0.19999999999999996,-0.65,-0.10684423111842256,-0.03318463001921401
21,0,0.25,-0.65,-0.09316606886713652,-0.040021446078786216
22,0,0.30000000000000004,-0.65,-0.08159804021786399,-0.03668058757578363
23,0,0.3500000000000001,-0.65,-0.06822458087636041,-0.028212005155365816
24,0,0.40000000000000013,-0.65,-0.05106701047646989,-0.017157578302335885
25,0,0.44999999999999996,-0.65,-0.031453873202414995,-0.006336319589275163
26,0,0.5,-0.65,-0.014874654974093016,0.0015240267042027078
27,0,0.55,-0.65,-0.008179564724097865,0.006007051000740393
0,1,-0.8,-0.6,-0.024063791580177796,0.009970234973704084
1,1,-0.75,-0.6,-0.030416040030418756,0.016916329236250638
2,1,-0.7000000000000001,-0.6,-0.043287897643657924,0.02399458736586868
3,1,-0.65,-0.6,-0.056123448994114256,0.02923892482800783
4,1,-0.6000000000000001,-0.6,-0.06878463380579403,0.032585999244095776
5,1,-0.55,-0.6,-0.07887177698807313,0.035050327675124615
6,1,-0.5,-0.6,-0.07984415028189917,0.03536504539999874
7,1,-0.45,-0.6,-0.06872016468987607,0.031419297721412276
8,1,-0.4,-0.6,-0.05193274561378192,0.024128423246150277
9,1,-0.35000000000000003,-0.6,-0.038792057085338394,0.016450059958420526
10,1,-0.30000000000000004,-0.6,-0.03199996836846575,0.009922217896595198
11,1,-0.25,-0.6,-0.028014063715503523,0.004182809637093277
12,1,-0.19999999999999996,-0.6,-0.026182595189793156,-0.0003648849936621623
