first_scan,second_scan,common_cell_count,rms_mm
scan-20260719-081655,scan-20260719-081735,1339,26.585491760062236
scan-20260719-081655,scan-20260719-081807,1319,25.097782766707724
scan-20260719-081735,scan-20260719-081807,1326,14.629353577598414
