grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-0.9,-0.7000000000000001,0.07822515609763513,false,true
1,0,-0.85,-0.7000000000000001,0.07761217690060265,false,true
2,0,-0.8,-0.7000000000000001,0.07619711811500324,false,true
3,0,-0.75,-0.7000000000000001,0.07373707378865665,false,true
4,0,-0.7,-0.7000000000000001,0.07063690170774756,false,true
5,0,-0.65,-0.7000000000000001,0.0677757687980497,false,true
6,0,-0.6,-0.7000000000000001,0.06570681036180376,false,true
7,0,-0.55,-0.7000000000000001,0.06422609734977354,false,true
8,0,-0.5,-0.7000000000000001,0.06234728385335751,false,true
9,0,-0.45,-0.7000000000000001,0.0584272857844634,false,true
10,0,-0.4,-0.7000000000000001,0.05109674937598585,true,false
11,0,-0.35,-0.7000000000000001,0.04095158515073286,true,false
12,0,-0.29999999999999993,-0.7000000000000001,0.030427409994515067,true,false
13,0,-0.25,-0.7000000000000001,0.021514230022487098,true,false
14,0,-0.19999999999999996,-0.7000000000000001,0.014690965390671495,true,false
15,0,-0.15000000000000002,-0.7000000000000001,0.009662191322970134,true,false
16,0,-0.09999999999999998,-0.7000000000000001,0.006011860002232215,false,true
17,0,-0.04999999999999993,-0.7000000000000001,0.003525266508565089,false,true
18,0,0.0,-0.7000000000000001,0.0022620932940755523,false,true
19,0,0.050000000000000044,-0.7000000000000001,0.0019625208975460324,false,true
20,0,0.09999999999999998,-0.7000000000000001,0.001573210977891504,false,true
21,0,0.15000000000000002,-0.7000000000000001,0.00013531001028413694,false,true
22,0,0.20000000000000007,-0.7000000000000001,-0.0020676953943209297,false,true
23,0,0.2500000000000001,-0.7000000000000001,-0.0037628591969231886,false,true
24,0,0.30000000000000016,-0.7000000000000001,-0.0037194221812312076,false,true
25,0,0.35,-0.7000000000000001,-0.0014699810835427673,false,true
26,0,0.4,-0.7000000000000001,0.0023968641859634008,false,true
27,0,0.45000000000000007,-0.7000000000000001,0.006631705529781983,false,true
28,0,0.5000000000000001,-0.7000000000000001,0.010177491067847303,false,true
29,0,0.5500000000000002,-0.7000000000000001,0.01263349662430693,false,true
30,0,0.6,-0.7000000000000001,0.014188680086565127,false,true
31,0,0.65,-0.7000000000000001,0.015275439563212962,false,true
32,0,0.7000000000000001,-0.7000000000000001,0.016180624724906598,false,true
33,0,0.7500000000000001,-0.7000000000000001,0.016942749884849034,false,true
0,1,-0.9,-0.65,0.07827823276765283,false,true
1,1,-0.85,-0.65,0.07785591060631027,false,true
2,1,-0.8,-0.65,0.07682274230925663,false,true
3,1,-0.75,-0.65,0.07488052571533908,false,true
4,1,-0.7,-0.65,0.07217016362479566,false,true
5,1,-0.65,-0.65,0.06932801396149678,false,true
6,1,-0.6,-0.65,0.06695844770516256,false,true
7,1,-0.55,-0.65,0.06510379239562739,false,true
8,1,-0.5,-0.65,0.06295579899413994,false,true
9,1,-0.45,-0.65,0.0589306518062772,false,true
10,1,-0.4,-0.65,0.05170153990910377,true,false
11,1,-0.35,-0.65,0.04186576380089995,true,false
12,1,-0.29999999999999993,-0.65,0.031756272513978764,true,false
13,1,-0.25,-0.65,0.02322210166608988,true,false
14,1,-0.19999999999999996,-0.65,0.016627571393086002,true,false
15,1,-0.15000000000000002,-0.65,0.011619422417151954,true,false
16,1,-0.09999999999999998,-0.65,0.007811017996379584,true,false
17,1,-0.04999999999999993,-0.65,0.005052268639737598,true,false
18,1,0.0,-0.65,0.0034348336131680875,true,false
19,1,0.050000000000000044,-0.65,0.002765760094714511,true,false
20,1,0.09999999999999998,-0.65,0.0021810640703939436,true,false
21,1,0.15000000000000002,-0.65,0.0009112624878884152,true,false
22,1,0.20000000000000007,-0.65,-0.0007844748802206162,true,false
23,1,0.2500000000000001,-0.65,-0.0018879070960102482,true,false
24,1,0.30000000000000016,-0.65,-0.0014461245627555605,true,false
25,1,0.35,-0.65,0.0009059139342932585,true,false
26,1,0.4,-0.65,0.004638754555442246,true,false
27,1,0.45000000000000007,-0.65,0.008577969948610981,false,true
28,1,0.5000000000000001,-0.65,0.01173364722495774,false,true
29,1,0.5500000000000002,-0.65,0.013831783596752897,false,true
30,1,0.6,-0.65,0.015178961027155926,false,true
31,1,0.65,-0.65,0.016195634906511224,false,true
32,1,0.7000000000000001,-0.65,0.017071548990290283,false,true
33,1,0.7500000000000001,-0.65,0.01778784789922219,false,true
0,2,-0.9,-0.6000000000000001,0.0783037792130891,false,true
1,2,-0.85,-0.6000000000000001,0.07805098275819114,false,true
2,2,-0.8,-0.6000000000000001,0.07741118588282665,false,true
3,2,-0.75,-0.6000000000000001,0.07609395448565115,false,true
4,2,-0.7,-0.6000000000000001,0.07400213831727388,false,true
5,2,-0.65,-0.6000000000000001,0.07143300353186044,false,true
6,2,-0.6,-0.6000000000000001,0.06888885041279214,false,true
7,2,-0.55,-0.6000000000000001,0.06660286850547516,false,true
8,2,-0.5,-0.6000000000000001,0.06401674030705128,false,true
9,2,-0.45,-0.6000000000000001,0.05971023427246386,true,false
10,2,-0.4,-0.6000000000000001,0.052467303396695524,true,false
11,2,-0.35,-0.6000000000000001,0.04289872961241515,true,false
12,2,-0.29999999999999993,-0.6000000000000001,0.03321404124088505,true,false
13,2,-0.25,-0.6000000000000001,0.02511736719382821,true,false
14,2,-0.19999999999999996,-0.6000000000000001,0.01885784306981494,true,false
15,2,-0.15000000000000002,-0.6000000000000001,0.013990718882503833,true,false
16,2,-0.09999999999999998,-0.6000000000000001,0.01011279638302211,true,false
17,2,-0.04999999999999993,-0.6000000000000001,0.007104144016379422,true,false
18,2,0.0,-0.6000000000000001,0.005065406085047231,true,false
19,2,0.050000000000000044,-0.6000000000000001,0.003898342655471729,true,false
20,2,0.09999999999999998,-0.6000000000000001,0.003048360026198708,true,false
21,2,0.15000000000000002,-0.6000000000000001,0.0020515962616598576,true,false
22,2,0.20000000000000007,-0.6000000000000001,0.0011133067319012192,true,false
23,2,0.2500000000000001,-0.6000000000000001,0.0008438859130261191,true,false
24,2,0.30000000000000016,-0.6000000000000001,0.0017915070262600418,true,false
25,2,0.35,-0.6000000000000001,0.0042033928011293445,true,false
26,2,0.4,-0.6000000000000001,0.0076656670985792786,true,false
27,2,0.45000000000000007,-0.6000000000000001,0.011144589002644754,true,false
28,2,0.5000000000000001,-0.6000000000000001,0.013773813034851588,false,true
29,2,0.5500000000000002,-0.6000000000000001,0.015433129875138403,false,true
30,2,0.6,-0.6000000000000001,0.016521515686150016,false,true
31,2,0.65,-0.6000000000000001,0.01740428995574142,false,true
32,2,0.7000000000000001,-0.6000000000000001,0.01816787530183021,false,true
33,2,0.7500000000000001,-0.6000000000000001,0.018759611715377832,false,true
0,3,-0.9,-0.55,0.07837062687850327,false,true
1,3,-0.85,-0.55,0.07817698835642957,false,true
2,3,-0.8,-0.55,0.07779543492695237,false,true
3,3,-0.75,-0.55,0.07702667282600546,false,true
4,3,-0.7,-0.55,0.07566102394178764,false,true
5,3,-0.65,-0.55,0.07367111767426111,false,true
6,3,-0.6,-0.55,0.07128476094829322,false,true
7,3,-0.55,-0.55,0.06872749278930598,false,true
8,3,-0.5,-0.55,0.06565450647657291,false,true
9,3,-0.45,-0.55,0.06090700616440741,true,false
10,3,-0.4,-0.55,0.053457462553267304,true,false
11,3,-0.35,-0.55,0.04394504404523389,true,false
12,3,-0.29999999999999993,-0.55,0.03448609032992655,true,false
13,3,-0.25,-0.55,0.02670737545888617,true,false
14,3,-0.19999999999999996,-0.55,0.0207794241604539,true,false
