grid_x,grid_y,local_x_m,local_y_m,height_m,measured,interpolated
0,0,-1.1,-0.75,0.07546001672744751,false,true
1,0,-1.05,-0.75,0.06424859088375229,false,true
2,0,-1.0,-0.75,0.05446689488597108,false,true
3,0,-0.9500000000000001,-0.75,0.05446259019191726,false,true
4,0,-0.9000000000000001,-0.75,0.05445826053619385,false,true
5,0,-0.8500000000000001,-0.75,0.05283618465148668,false,true
6,0,-0.8,-0.75,0.051410386794259195,false,true
7,0,-0.75,-0.75,0.05138146877288818,false,true
8,0,-0.7000000000000001,-0.75,0.04330836448567411,false,true
9,0,-0.6500000000000001,-0.75,0.036224538105549195,false,true
10,0,-0.6000000000000001,-0.75,0.03609776496887207,false,true
11,0,-0.55,-0.75,0.03232611544183784,false,true
12,0,-0.5,-0.75,0.02880239486694336,false,true
13,0,-0.45000000000000007,-0.75,0.026774431022743492,false,true
14,0,-0.4,-0.75,0.023762141168534496,false,true
15,0,-0.3500000000000001,-0.75,0.017302956348310857,false,true
16,0,-0.30000000000000004,-0.75,0.009111260596581211,false,true
17,0,-0.25,-0.75,-0.0003166550865316895,false,true
18,0,-0.20000000000000007,-0.75,-0.009632244923756791,false,true
19,0,-0.15000000000000002,-0.75,-0.022886067034303837,false,true
20,0,-0.10000000000000009,-0.75,-0.03301447629928589,false,true
21,0,-0.050000000000000044,-0.75,-0.035084529884885085,false,true
22,0,0.0,-0.75,-0.03941484895931214,false,true
23,0,0.050000000000000044,-0.75,-0.05238646405537162,false,true
24,0,0.10000000000000009,-0.75,-0.06927382946014404,true,false
25,0,0.1499999999999999,-0.75,-0.055938519933575896,false,true
26,0,0.19999999999999996,-0.75,-0.05095030805713039,false,true
27,0,0.25,-0.75,-0.05105133632411303,false,true
28,0,0.30000000000000004,-0.75,-0.04994052648544311,false,true
29,0,0.3500000000000001,-0.75,-0.04445571773631094,false,true
30,0,0.3999999999999999,-0.75,-0.039115190505981445,false,true
31,0,0.44999999999999996,-0.75,-0.03421797847571378,false,true
32,0,0.5,-0.75,-0.031024779270875092,false,true
33,0,0.55,-0.75,-0.03106169715595935,false,true
34,0,0.6000000000000001,-0.75,-0.031202853518985715,false,true
35,0,0.6499999999999999,-0.75,-0.03134894371032715,false,true
36,0,0.7,-0.75,-0.0296896816421268,false,true
37,0,0.75,-0.75,-0.028747104859529884,false,true
0,1,-1.1,-0.7,0.07546209644751277,false,true
